team_id,team_name,team_code,men,women,federation_name,region_name,confederation_id,confederation_name,confederation_code,wikipedia_link_men,wikipedia_link_women,wikipedia_link_federation
2eeac718-4c7f-5065-aedd-5250910b0c78,Slovakia,SVK,TRUE,FALSE,Slovak Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Slovakia_national_football_team,,https://en.wikipedia.org/wiki/Slovak_Football_Association
3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,TRUE,TRUE,Swedish Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
3a57ba00-89d9-50ec-b7f0-c37c9920a2fa,Haiti,HTI,TRUE,TRUE,Haitian Football Federation,Caribbean,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Haiti_national_football_team,https://en.wikipedia.org/wiki/Haiti_women%27s_national_football_team,https://en.wikipedia.org/wiki/Haitian_Football_Federation
3aa56241-3868-505a-ac6a-753aefa79cc2,Belgium,BEL,TRUE,FALSE,Royal Belgian Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Belgium_national_football_team,,https://en.wikipedia.org/wiki/Royal_Belgian_Football_Association
3c6a11b7-f75d-55d5-9b7b-fe69a4f46ece,Zambia,ZMB,FALSE,TRUE,Football Association of Zambia,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,,https://en.wikipedia.org/wiki/Zambia_women%27s_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Zambia
3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,TRUE,TRUE,French Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
3de13983-4604-5a8d-b39c-08d4f279a06b,Colombia,COL,TRUE,TRUE,Colombia Football Federation,South America,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Colombia_national_football_team,https://en.wikipedia.org/wiki/Colombia_women's_national_football_team,https://en.wikipedia.org/wiki/Colombian_Football_Federation
42c04ec6-0345-52bc-8d8a-5d51bd89ad16,Qatar,QAT,TRUE,FALSE,Qatar Football Association,Middle East,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Qatar_national_football_team,,https://en.wikipedia.org/wiki/Qatar_Football_Association
43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,TRUE,TRUE,The Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/England_national_football_team,https://en.wikipedia.org/wiki/England_women's_national_football_team,https://en.wikipedia.org/wiki/The_Football_Association
498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,TRUE,TRUE,Brazilian Football Confederation,South America,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
535a7e23-4bf9-5e96-ac76-48241d246817,El Salvador,SLV,TRUE,FALSE,Salvadorian Football Federation,Central America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/El_Salvador_national_football_team,,https://en.wikipedia.org/wiki/Salvadoran_Football_Federation
54c72963-7aa5-5bd8-be03-81066850ff78,Equatorial Guinea,GNQ,FALSE,TRUE,Equatoguinean Football Federation,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,,https://en.wikipedia.org/wiki/Equatorial_Guinea_women's_national_football_team,https://en.wikipedia.org/wiki/Equatoguinean_Football_Federation
55f8040d-0098-5415-abdf-66098ef3bbee,Ghana,GHA,TRUE,TRUE,Ghana Football Association,Africa,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Ghana_national_football_team,https://en.wikipedia.org/wiki/Ghana_women's_national_football_team,https://en.wikipedia.org/wiki/Ghana_Football_Association
58ce2aac-d181-51c6-9f50-fc3e8643d0e1,North Korea,PRK,TRUE,TRUE,Democratic People's Republic of Korea Football Association,East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/North_Korea_national_football_team,https://en.wikipedia.org/wiki/North_Korea_women's_national_football_team,https://en.wikipedia.org/wiki/DPR_Korea_Football_Association
5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,TRUE,TRUE,Royal Spanish Football Federation,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Spain_national_football_team,https://en.wikipedia.org/wiki/Spain_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Spanish_Football_Federation
641e565c-2f15-5697-b9f0-a09f9dcf1d99,Northern Ireland,NIR,TRUE,FALSE,Irish Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Northern_Ireland_national_football_team,,https://en.wikipedia.org/wiki/Irish_Football_Association
