tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group A,1,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,3,3,0,0,7,1,6,9,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group A,2,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,3,2,0,1,6,3,3,6,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group A,3,f201a6b5-a9f6-5612-947b-a6a57d2e7e18,Nigeria,NGA,3,1,0,2,2,4,-2,3,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group A,4,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,3,0,0,3,1,8,-7,0,FALSE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group B,1,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,3,3,0,0,6,0,6,9,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group B,2,5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,3,1,1,1,3,2,1,4,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group B,3,93542d8e-8aca-5c07-ad21-5c493fdf083e,China,CHN,3,1,1,1,1,1,0,4,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group B,4,e77d250a-1cec-5627-adc4-3cf95c7c0972,South Africa,ZAF,3,0,0,3,1,8,-7,0,FALSE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group C,1,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,3,2,0,1,7,2,5,6,TRUE
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1,group stage,Group C,2,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,3,2,0,1,8,5,3,6,TRUE
