tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,manager_id,family_name,given_name,country_name
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,66fbbc3c-23e4-5d1a-80f0-2f882cc62299,Netherlands vs Belgium,1998-06-13,group stage,Group E,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,TRUE,FALSE,d7eb83fa-ed22-5dcd-b2e9-bc80cff5d33d,Hiddink,Guus,Netherlands
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,66fbbc3c-23e4-5d1a-80f0-2f882cc62299,Netherlands vs Belgium,1998-06-13,group stage,Group E,3aa56241-3868-505a-ac6a-753aefa79cc2,Belgium,BEL,FALSE,TRUE,c91d508e-ceac-5906-9c75-52714170e484,Leekens,Georges,Belgium
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,676ff968-257e-5b5c-baea-1dd99d55ef80,Hungary vs Bulgaria,1966-07-20,group stage,Group 3,f16b7d5c-db54-5b27-b827-e848a3035641,Hungary,HUN,TRUE,FALSE,118f2e23-c2af-5ed2-a6ce-854e6f0766d7,Baróti,Lajos,Hungary
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,676ff968-257e-5b5c-baea-1dd99d55ef80,Hungary vs Bulgaria,1966-07-20,group stage,Group 3,f4b41163-3c82-5e1e-af54-e7ecc8a15135,Bulgaria,BGR,FALSE,TRUE,588cf42f-65cc-58e9-8dbe-ec41e031c0f6,Vytlačil,Rudolf,Czechoslovakia
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,67742f69-50e2-5fae-b8ef-d0d2e0f84dab,Uruguay vs Saudi Arabia,2018-06-20,group stage,Group A,f8764a69-de29-59f5-8e79-715c4bf88a11,Uruguay,URY,TRUE,FALSE,3979d791-dc59-53e5-a27d-0efa10327543,Tabárez,Óscar,Uruguay
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,67742f69-50e2-5fae-b8ef-d0d2e0f84dab,Uruguay vs Saudi Arabia,2018-06-20,group stage,Group A,8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,FALSE,TRUE,d06e4188-60ba-5135-8005-fe325fb3c202,Pizzi,Juan Antonio,Spain
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,67998bd2-6ace-5e0c-beae-dd4aa50b9dfd,Mexico vs Bulgaria,1986-06-15,round of 16,,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,TRUE,FALSE,e91d374b-3f6b-5a35-a611-4c171f4302a1,Milutinović,Bora,Yugoslavia
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,67998bd2-6ace-5e0c-beae-dd4aa50b9dfd,Mexico vs Bulgaria,1986-06-15,round of 16,,f4b41163-3c82-5e1e-af54-e7ecc8a15135,Bulgaria,BGR,FALSE,TRUE,c0dfa36f-f718-5147-b4ee-fb3e6f2ad0aa,Vutsov,Ivan,Bulgaria
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,681ff65c-6e0a-5bd0-b08e-476fd1b68e93,France vs South Korea,2015-06-21,round of 16,,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,TRUE,FALSE,7c3d689c-5101-5554-bdb5-e17397cae141,Bergeroo,Philippe,France
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,681ff65c-6e0a-5bd0-b08e-476fd1b68e93,France vs South Korea,2015-06-21,round of 16,,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,FALSE,TRUE,389ac5aa-edd2-5afd-87dc-c4f37c7e3934,Yoon,Deok-yeo,South Korea
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,6863b147-9dda-5fd2-9d7c-6a172af235ba,Italy vs France,1978-06-02,first group stage,Group 1,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,TRUE,FALSE,dafcc73c-4ff9-5d86-b6dc-4ca960d763d1,Bearzot,Enzo,Italy
173406d4-d15a-5033-bddc-c3f91ccad965,1978 FIFA Men's World Cup,6863b147-9dda-5fd2-9d7c-6a172af235ba,Italy vs France,1978-06-02,first group stage,Group 1,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,FALSE,TRUE,53c424b8-0b80-5a9a-b386-ff01683cc812,Hidalgo,Michel,France
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,689d4ee8-821e-5925-8ff7-3fc0ad4ce122,Argentina vs West Germany,1966-07-16,group stage,Group 2,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,TRUE,FALSE,a2c624fd-3c4e-506a-b6f1-c40f92fdff3b,Lorenzo,Juan Carlos,Argentina
16504e44-4d0e-5f54-9f9d-c1dfa90a0f20,1966 FIFA Men's World Cup,689d4ee8-821e-5925-8ff7-3fc0ad4ce122,Argentina vs West Germany,1966-07-16,group stage,Group 2,adbcf28f-5f27-56bd-bca0-909cf77a8ae0,West Germany,DEU,FALSE,TRUE,f1a40b7b-e23d-5f2a-a874-788acf47dcc5,Schön,Helmut,Germany
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,68d6b325-1d50-5d79-b8c4-b71cc62f4956,Brazil vs South Korea,2022-12-05,round of 16,,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,TRUE,FALSE,dcf63a98-89cf-54ff-a224-48858ac5127c,Tite,,Brazil
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,68d6b325-1d50-5d79-b8c4-b71cc62f4956,Brazil vs South Korea,2022-12-05,round of 16,,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,FALSE,TRUE,319dc177-1acb-5f27-a0e7-886c0f437e81,Bento,Paulo,Portugal
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,6900e67b-f912-5f1d-bc51-df45dd99d8c3,Brazil vs Sweden,1950-07-09,final round,,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,TRUE,FALSE,18125071-7df6-5c3d-8f55-b9272deac3cd,Costa,Flávio,Brazil
5d9da256-e241-508e-85a7-5a17c07f186a,1950 FIFA Men's World Cup,6900e67b-f912-5f1d-bc51-df45dd99d8c3,Brazil vs Sweden,1950-07-09,final round,,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,FALSE,TRUE,d57faa21-f30b-5242-b4d7-6231be4cd63c,Raynor,George,England
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,6948b864-ef0d-5b19-a73b-58b00623889d,Brazil vs Soviet Union,1958-06-15,group stage,Group 4,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,TRUE,FALSE,975371a8-7a9a-5e9b-915d-4c5e8a75b358,Feola,Vicente,Brazil
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,6948b864-ef0d-5b19-a73b-58b00623889d,Brazil vs Soviet Union,1958-06-15,group stage,Group 4,6c983d26-03e1-5649-a13f-42b61e101a0e,Soviet Union,SUN,FALSE,TRUE,32941971-7569-5a1b-b1a2-46971f9050e6,Kachalin,Gavriil,Soviet Union
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,6952a8c7-f304-5398-b3f8-48d02006fce0,Senegal vs Colombia,2018-06-28,group stage,Group H,fdb9a8af-2b8d-518b-b0ab-a0118cd58de2,Senegal,SEN,TRUE,FALSE,44dce09d-d7c2-5b17-830f-b0717c161910,Cissé,Aliou,Senegal
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,6952a8c7-f304-5398-b3f8-48d02006fce0,Senegal vs Colombia,2018-06-28,group stage,Group H,3de13983-4604-5a8d-b39c-08d4f279a06b,Colombia,COL,FALSE,TRUE,3545c44c-12f7-5af2-8225-81a31910a1a6,Pékerman,José,Argentina
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6965e11a-7af0-562b-a903-8ecd9460197f,South Africa vs Saudi Arabia,1998-06-24,group stage,Group C,e77d250a-1cec-5627-adc4-3cf95c7c0972,South Africa,ZAF,TRUE,FALSE,9ee233f5-25c8-520d-8a6c-0e4a90a60b7d,Troussier,Philippe,France
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6965e11a-7af0-562b-a903-8ecd9460197f,South Africa vs Saudi Arabia,1998-06-24,group stage,Group C,8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,FALSE,TRUE,2e775780-e3fe-5653-8a0a-28d547631c1c,Al-Kharashy,Mohammed,Brazil
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6965e11a-7af0-562b-a903-8ecd9460197f,South Africa vs Saudi Arabia,1998-06-24,group stage,Group C,8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,FALSE,TRUE,b04380db-a075-5f4a-a525-272a2712b755,Parreira,Carlos Alberto,Brazil
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,699f3aa4-0d0f-544f-a541-39437b418102,Hungary vs France,1986-06-09,group stage,Group C,f16b7d5c-db54-5b27-b827-e848a3035641,Hungary,HUN,TRUE,FALSE,cf06e278-4bf9-5da8-b691-d04e736588cb,Mezey,György,Hungary
8e0540a9-ab5d-5e7f-8ed2-417e3e1568a9,1986 FIFA Men's World Cup,699f3aa4-0d0f-544f-a541-39437b418102,Hungary vs France,1986-06-09,group stage,Group C,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,FALSE,TRUE,909817eb-379f-58e9-909f-57aa8e790ea8,Michel,Henri,France
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,69aebb1c-780f-51e1-a60d-c027b48bc29c,Peru vs Denmark,2018-06-16,group stage,Group C,db3abc88-7f89-5183-bc6d-ea6fa7c361d9,Peru,PER,TRUE,FALSE,a161b99c-7edb-5948-89e9-aac9e3710dfe,Gareca,Ricardo,Argentina
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,69aebb1c-780f-51e1-a60d-c027b48bc29c,Peru vs Denmark,2018-06-16,group stage,Group C,dfb099cc-e7ea-5e4f-b492-bdbf6e8e179b,Denmark,DNK,FALSE,TRUE,e397ac4b-642d-57c5-86b9-1e53d92c5f7c,Hareide,Åge,Norway
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,69ed96b0-3a84-52a1-b0fd-af103e878df9,Czech Republic vs Italy,2006-06-22,group stage,Group E,ad708552-b621-5809-9ae6-02de989608b3,Czech Republic,CZE,TRUE,FALSE,76378782-6e9d-53ce-90c7-e2f9f1105722,Brückner,Karel,Czech Republic
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,69ed96b0-3a84-52a1-b0fd-af103e878df9,Czech Republic vs Italy,2006-06-22,group stage,Group E,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,FALSE,TRUE,8a6edd2b-060d-5e52-b929-8e4dfb52570e,Lippi,Marcello,Italy
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,69f0c979-7991-5d2c-8b37-891bc60c9334,Brazil vs Norway,1999-07-10,third-place match,,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,TRUE,FALSE,55d6ea58-921a-5be7-a317-cd8dc52efd62,Wilsinho,,Brazil
14ac8c65-b6bd-5301-83ca-d190f210e04f,1999 FIFA Women's World Cup,69f0c979-7991-5d2c-8b37-891bc60c9334,Brazil vs Norway,1999-07-10,third-place match,,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,FALSE,TRUE,d6538004-2e31-5faa-a259-4d9bb459268f,Høgmo,Per-Mathias,Norway
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,6a209f78-cb2b-5b74-92f0-bce1e989d28b,Japan vs Sweden,1991-11-19,group stage,Group B,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,TRUE,FALSE,eb182d03-9886-5dfe-9853-451bf2d37dd8,Suzuki,Tamotsu,Japan
cb194f04-c36a-5525-a51a-2219d44c0be3,1991 FIFA Women's World Cup,6a209f78-cb2b-5b74-92f0-bce1e989d28b,Japan vs Sweden,1991-11-19,group stage,Group B,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,FALSE,TRUE,68e296c2-2c10-56b5-9197-c4c260db946c,Paijkull,Gunilla,Sweden
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,6a55ca96-167f-570d-899a-220f4d5158c7,England vs Argentina,2019-06-14,group stage,Group D,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,TRUE,FALSE,69cbccc6-d19a-5a8d-a0eb-4ebf3d272ef5,Neville,Phil,England
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,6a55ca96-167f-570d-899a-220f4d5158c7,England vs Argentina,2019-06-14,group stage,Group D,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,FALSE,TRUE,014f518c-a9a3-5edb-af68-39909dc0e3e7,Borrello,Carlos,Argentina
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,6a60bde8-518b-5037-886d-b42b64a7fe25,Netherlands vs South Africa,2023-08-06,round of 16,,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,TRUE,FALSE,c50e3ba7-4716-5ae0-9d24-5acd005c463b,Jonker,Andries,Netherlands
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,6a60bde8-518b-5037-886d-b42b64a7fe25,Netherlands vs South Africa,2023-08-06,round of 16,,e77d250a-1cec-5627-adc4-3cf95c7c0972,South Africa,ZAF,FALSE,TRUE,99fa2bcf-770f-5005-9a49-a84c5bd581db,Ellis,Desiree,South Africa
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,6ac29cb1-c302-567e-ae59-0b1143eb04dd,Switzerland vs Cameroon,2015-06-16,group stage,Group C,a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,TRUE,FALSE,ff612a40-9b1b-52be-8697-55bcde0c7626,Voss-Tecklenburg,Martina,Germany
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,6ac29cb1-c302-567e-ae59-0b1143eb04dd,Switzerland vs Cameroon,2015-06-16,group stage,Group C,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,FALSE,TRUE,942ce320-1a17-5a69-a253-b71a478d0627,Enow,Carl,Cameroon
717bed6b-0e65-5efa-8010-ab689ff32abe,1970 FIFA Men's World Cup,6b140f35-3fd5-53e4-9471-651656cb87e4,Brazil vs Romania,1970-06-10,group stage,Group 3,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,TRUE,FALSE,c30d0220-1310-54a9-a3e9-7a7b76d957bd,Zagallo,Mário,Brazil
717bed6b-0e65-5efa-8010-ab689ff32abe,1970 FIFA Men's World Cup,6b140f35-3fd5-53e4-9471-651656cb87e4,Brazil vs Romania,1970-06-10,group stage,Group 3,da4d79d5-3e18-54b9-916c-997fdef9a796,Romania,ROU,FALSE,TRUE,bfd4a0f0-1207-5f7b-94cd-8ba2691364df,Niculescu,Angelo,Romania
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,6b4c338a-0f2c-5dca-937a-90ff3e98c7db,Netherlands vs United States,2022-12-03,round of 16,,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,TRUE,FALSE,caa09e8a-db1e-5e2c-a4b3-6fde7f127057,van Gaal,Louis,Netherlands
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,6b4c338a-0f2c-5dca-937a-90ff3e98c7db,Netherlands vs United States,2022-12-03,round of 16,,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,FALSE,TRUE,aea485db-c5da-58c8-9f3b-9e01130d17cc,Berhalter,Gregg,United States
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6b6a0835-d332-59b0-aafb-9505c9692f71,Argentina vs Jamaica,1998-06-21,group stage,Group H,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,TRUE,FALSE,4d0397d4-ad90-5ed5-b682-c68b43899dec,Passarella,Daniel,Argentina
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6b6a0835-d332-59b0-aafb-9505c9692f71,Argentina vs Jamaica,1998-06-21,group stage,Group H,13a7a10d-674d-5be2-bdfa-a0e18b0b6b04,Jamaica,JAM,FALSE,TRUE,ff3d0987-8c14-5d25-9845-601155ead331,Simões,Renê,Brazil
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,6b7048e6-c03c-56d3-b6d3-b3a3075e01a4,England vs Austria,1958-06-15,group stage,Group 4,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,TRUE,FALSE,605710b9-5847-5e36-9606-d4b8e47edb9e,Winterbottom,Walter,England
6be60fed-dffa-5aa5-89a6-374b2bcb8c92,1958 FIFA Men's World Cup,6b7048e6-c03c-56d3-b6d3-b3a3075e01a4,England vs Austria,1958-06-15,group stage,Group 4,8e63ee49-fbde-5478-a093-1a6a679cc27f,Austria,AUT,FALSE,TRUE,e0038ced-3b83-5b58-ad0d-9da4319117db,Argauer,Karl,Austria
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,6bb71aec-136f-5d00-8ff3-c12c67060001,United States vs Japan,2015-07-05,final,,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,TRUE,FALSE,86ee1636-7889-52ec-9d7c-d66525834347,Ellis,Jill,United States
09a48bd3-5401-5de4-9bd5-0e907ba0fee6,2015 FIFA Women's World Cup,6bb71aec-136f-5d00-8ff3-c12c67060001,United States vs Japan,2015-07-05,final,,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,FALSE,TRUE,d95519aa-ffcc-5187-af9b-886cc223ac7d,Sasaki,Norio,Japan
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6c46e73e-b0d7-5fa2-a222-d575315f34d7,Argentina vs Japan,1998-06-14,group stage,Group H,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,TRUE,FALSE,4d0397d4-ad90-5ed5-b682-c68b43899dec,Passarella,Daniel,Argentina
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6c46e73e-b0d7-5fa2-a222-d575315f34d7,Argentina vs Japan,1998-06-14,group stage,Group H,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,FALSE,TRUE,b47b314f-7b73-56dd-9e91-b5b50f9867e2,Okada,Takeshi,Japan
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6c4efe15-b645-5d56-9f0e-695f387389ce,Colombia vs England,1998-06-26,group stage,Group G,3de13983-4604-5a8d-b39c-08d4f279a06b,Colombia,COL,TRUE,FALSE,2c5d38bd-a725-5a84-a4b5-d149aac1c691,Gómez,Hernán Darío,Colombia
fbe31e5e-d2a1-50dd-a5ca-93784ee9f889,1998 FIFA Men's World Cup,6c4efe15-b645-5d56-9f0e-695f387389ce,Colombia vs England,1998-06-26,group stage,Group G,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,FALSE,TRUE,7faeb642-ef5b-5047-adc4-24c39b70486b,Hoddle,Glenn,England
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,6cb0bd77-d423-5c3a-ae48-80153e40dd74,Japan vs Costa Rica,2022-11-27,group stage,Group E,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,TRUE,FALSE,56dad4e6-7822-5d1e-a7bf-a0745a6ed465,Moriyasu,Hajime,Japan
989bb40b-e4d2-554d-b25d-51c776e801e2,2022 FIFA Men's World Cup,6cb0bd77-d423-5c3a-ae48-80153e40dd74,Japan vs Costa Rica,2022-11-27,group stage,Group E,8dd855bb-0dbb-576b-837a-ad9f8d770c86,Costa Rica,CRI,FALSE,TRUE,e4ed9f13-0059-5d17-afa4-bd19eca9a345,Suárez,Luis Fernando,Colombia
97242af1-4f11-5b96-b5f1-026e51f4a3c5,2023 FIFA Women's World Cup,6ce4df5c-2a08-5bce-910b-7b45c7b92652,Spain vs Costa Rica,2023-07-21,group stage,Group C,5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,TRUE,FALSE,b426fb0c-111e-589b-8390-ab3411261987,Vilda,Jorge,Spain
