manager_id,family_name,given_name,male,female,country_name,wikipedia_link_manager
aea485db-c5da-58c8-9f3b-9e01130d17cc,Berhalter,Gregg,TRUE,FALSE,United States,https://en.wikipedia.org/wiki/Gregg_Berhalter
a2d307a5-8929-5fdd-a8cd-be5841673c28,Berntsen,Bjarne,TRUE,FALSE,Norway,https://en.wikipedia.org/wiki/Bjarne_Berntsen
9abd5117-b8cb-5fd7-bd26-7d8750a98410,Bertolini,Milena,FALSE,TRUE,Italy,https://en.wikipedia.org/wiki/Milena_Bertolini
6e69dadc-74cd-5152-9590-9fd6f861dab6,Beskov,Konstantin,TRUE,FALSE,Soviet Union,https://en.wikipedia.org/wiki/Konstantin_Beskov
37c5d3e8-85e6-5f0a-9fb1-db323aadf715,Bielsa,Marcelo,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/Marcelo_Bielsa
5d7e511d-372a-5c7f-af80-833ac35bac4c,Bilardo,Carlos,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/Carlos_Bilardo
7c3d0faa-d238-51e3-b77c-f652c5ea64c7,Bingham,Billy,TRUE,FALSE,Northern Ireland,https://en.wikipedia.org/wiki/Billy_Bingham
533ee5d4-c266-5a82-96f8-a2b972a75852,Bini,Bruno,TRUE,FALSE,France,https://en.wikipedia.org/wiki/Bruno_Bini
35d00835-7788-58c3-9cb1-5222f3278828,Bisanz,Gero,TRUE,FALSE,Germany,https://en.wikipedia.org/wiki/Gero_Bisanz
3eaf2605-1f9e-5fc9-bec2-17edac9d64cf,Blažević,Miroslav,TRUE,FALSE,Croatia,https://en.wikipedia.org/wiki/Miroslav_Bla%C5%BEevi%C4%87
d39c438e-b8f3-5a44-b74d-8d897fa5a0a4,Blinda,Abdellah,TRUE,FALSE,Morocco,https://en.wikipedia.org/wiki/Abdellah_Blinda
2a6ba90e-0906-52ab-8023-f92ab7e55d81,Blokhin,Oleg,TRUE,FALSE,Ukraine,https://en.wikipedia.org/wiki/Oleg_Blokhin
06de8c40-1ffe-5de8-bd21-fe012cd3eef1,Boardman,Dave,TRUE,FALSE,England,https://en.wikipedia.org/wiki/Dave_Boardman
cb6d658e-f107-5968-b70a-51d4f14852a3,Bonev,Hristo,TRUE,FALSE,Bulgaria,https://en.wikipedia.org/wiki/Hristo_Bonev
f419087b-be40-5063-99f2-76ca6a49cbe0,Bonfrère,Jo,TRUE,FALSE,Netherlands,https://en.wikipedia.org/wiki/Jo_Bonfr%C3%A8re
55f1fea2-c830-5ea2-94f1-ae203f3cdc6d,Borhy,Karol,TRUE,FALSE,Czechoslovakia,https://en.wikipedia.org/wiki/Karol_Borhy
014f518c-a9a3-5edb-af68-39909dc0e3e7,Borrello,Carlos,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/Carlos_Borrello
1f1fe107-4cdd-5c91-b91f-c9468dfceda0,Borrás,Omar,TRUE,FALSE,Uruguay,https://en.wikipedia.org/wiki/Omar_Borr%C3%A1s
c8284c86-a9ff-58e0-ae4a-258916be54b1,Bozhkov,Stefan,TRUE,FALSE,Bulgaria,https://en.wikipedia.org/wiki/Stefan_Bozhkov
8be83ae5-03e5-50dc-b73e-feb156a412d4,Bradley,Bob,TRUE,FALSE,United States,https://en.wikipedia.org/wiki/Bob_Bradley
41876c0e-098c-5e99-b3b2-f8071d908eeb,Brown,Craig,TRUE,FALSE,Scotland,https://en.wikipedia.org/wiki/Craig_Brown_(footballer_born_1940)
ac7b1c28-b59f-5102-b9d0-ab7c590387c6,Brown,Greg,TRUE,FALSE,Australia,"https://en.wikipedia.org/wiki/Greg_Brown_(footballer,_born_1962)"
25ddb99c-ffdd-5d83-ab6b-ab3e492fc5a0,Bru,Francisco,TRUE,FALSE,Spain,https://en.wikipedia.org/wiki/Francisco_Bru
76378782-6e9d-53ce-90c7-e2f9f1105722,Brückner,Karel,TRUE,FALSE,Czech Republic,https://en.wikipedia.org/wiki/Karel_Br%C3%BCckner
551c3460-1417-5f46-be99-604f782e529f,Buccicardi,Alberto,TRUE,FALSE,Chile,https://en.wikipedia.org/wiki/Alberto_Buccicardi
1138e2c3-b372-51d9-afa9-51e2ef7f27c4,Busby,Matt,TRUE,FALSE,Scotland,https://en.wikipedia.org/wiki/Matt_Busby
6f0350ce-8b21-5dc3-a8a1-d5f3453777e3,Buschner,Georg,TRUE,FALSE,East Germany,https://en.wikipedia.org/wiki/Georg_Buschner
931233fc-2866-53cb-b28f-9c7fde94d0ac,Butler,Jack,TRUE,FALSE,England,"https://en.wikipedia.org/wiki/Jack_Butler_(footballer,_born_1894)"
