stadium_id,stadium_name,city_name,country_name,stadium_capacity,wikipedia_link_stadium,wikipedia_link_city
c846ce35-f25b-5db5-8bf7-084225bb8275,Rimnersvallen,Uddevalla,Sweden,18000,https://en.wikipedia.org/wiki/Rimnersvallen,https://en.wikipedia.org/wiki/Uddevalla
c8b21b90-6b3d-5c04-9d14-6753b2a518d2,Vicente Calderón,Madrid,Spain,66000,https://en.wikipedia.org/wiki/Vicente_Calderón_Stadium,https://en.wikipedia.org/wiki/Madrid
cc73d6de-e116-564e-8623-c13a03cb03e6,Home Depot Center,Carson,United States,28000,https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park,"https://en.wikipedia.org/wiki/Carson,_California"
ce345f30-5d22-541a-bd41-6cc425ab351c,Estadio Sergio León Chavez,Irapuato,Mexico,31000,https://en.wikipedia.org/wiki/Estadio_Sergio_León_Chávez,https://en.wikipedia.org/wiki/Irapuato
d0affdf4-6636-5ffd-b953-e2ea0b4ade0e,Malmö Stadion,Malmö,Sweden,30000,https://en.wikipedia.org/wiki/Malmö_Stadion,https://en.wikipedia.org/wiki/Malmö
d11bddc5-3ffd-5fbe-b239-a3246c592ee8,Busan Asiad Stadium,Busan,South Korea,56000,https://en.wikipedia.org/wiki/Busan_Asiad_Stadium,https://en.wikipedia.org/wiki/Busan
d1d0c12c-89ff-5a1d-9d5e-28f935489cc2,Estadio Santiago Bernabéu,Madrid,Spain,90000,https://en.wikipedia.org/wiki/Santiago_Bernabéu_Stadium,https://en.wikipedia.org/wiki/Madrid
d435d6f5-e417-5769-b7ac-c19c48e083b0,Stade Olympique de Colombes,Paris,France,60000,https://en.wikipedia.org/wiki/Stade_Olympique_Yves-du-Manoir,https://en.wikipedia.org/wiki/Paris
d54a1394-161d-55c6-b022-b1e830297165,Parc Olympique Lyonnais,Lyon,France,58000,https://en.wikipedia.org/wiki/Parc_Olympique_Lyonnais,https://en.wikipedia.org/wiki/Lyon
d5f9b90a-4361-5b52-869d-eacfcd57c80b,Estadio José María Minella,Mar del Plata,Argentina,44000,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella,https://en.wikipedia.org/wiki/Mar_del_Plata
d74012db-5513-5262-b2fa-85f77dffbddf,Estadio Monumental,Buenos Aires,Argentina,75000,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti,https://en.wikipedia.org/wiki/Buenos_Aires
d774ceff-4f1e-586d-93c8-33f0fe54b2e5,Samara Arena,Samara,Russia,42000,https://en.wikipedia.org/wiki/Samara_Arena,https://en.wikipedia.org/wiki/Samara
d91bde36-1735-5b2f-9576-e5c30f6fee61,Estadio Gigante de Arroyito,Rosario,Argentina,46000,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,"https://en.wikipedia.org/wiki/Rosario,_Santa_Fe"
d94145a2-ec85-5e4c-9420-08e9d270e3de,Civic Stadium,Portland,United States,27000,"https://en.wikipedia.org/wiki/Civic_Stadium_(Portland,_Oregon)","https://en.wikipedia.org/wiki/Portland,_Oregon"
d9d2f481-7404-5188-85a9-0040e5b7ea0b,Goodison Park,Liverpool,England,50000,https://en.wikipedia.org/wiki/Goodison_Park,https://en.wikipedia.org/wiki/Liverpool
da577189-f868-52e3-9bc3-d0734c368cdf,Estadio La Romareda,Zaragoza,Spain,42000,https://en.wikipedia.org/wiki/La_Romareda,https://en.wikipedia.org/wiki/Zaragoza
db622772-ef0a-537b-bd91-a83e661c581d,Stade du Fort Carré,Antibes,France,7000,https://en.wikipedia.org/wiki/Stade_du_Fort_Carré,https://en.wikipedia.org/wiki/Antibes
ddb22174-ad08-5287-9781-a3b09a82babc,Estadio La Rosaleda,Málaga,Spain,45000,https://en.wikipedia.org/wiki/Estadio_La_Rosaleda,https://en.wikipedia.org/wiki/Málaga
de1d84a2-72e1-5ad6-9568-3bd69e4470ff,Stade de la Mosson,Montpellier,France,34000,https://en.wikipedia.org/wiki/Stade_de_la_Mosson,https://en.wikipedia.org/wiki/Montpellier
df3aa721-cb2f-5e8d-a675-54b12afa1948,Stadio Friuli,Udine,Italy,36000,https://en.wikipedia.org/wiki/Stadio_Friuli,https://en.wikipedia.org/wiki/Udine
df740c61-ecfb-5635-a226-fda47fcb671b,Citrus Bowl,Orlando,United States,62000,https://en.wikipedia.org/wiki/Citrus_Bowl_(stadium),"https://en.wikipedia.org/wiki/Orlando,_Florida"
e00290cc-813b-5264-8fbe-3695f03d4641,Estadio San Mamés,Bilbao,Spain,46000,https://en.wikipedia.org/wiki/San_Mamés_Stadium_(1913),https://en.wikipedia.org/wiki/Bilbao
e05c231c-7018-5e2d-90dd-1168212d28e4,Allianz Riviera,Nice,France,35000,https://en.wikipedia.org/wiki/Allianz_Riviera,https://en.wikipedia.org/wiki/Nice
e58d42a3-7290-5ba2-a4d0-d1327bfe0172,Olympia,Helsingborg,Sweden,27000,https://en.wikipedia.org/wiki/Olympia_(Helsingborg),https://en.wikipedia.org/wiki/Helsingborg
e6ab567c-4a90-5359-bdd1-faee1e86d4a7,Jeju World Cup Stadium,Seogwipo,South Korea,42000,https://en.wikipedia.org/wiki/Jeju_World_Cup_Stadium,https://en.wikipedia.org/wiki/Seogwipo
e9eceab9-5e1c-52fc-9c5d-2c62dbe74359,Rose Bowl,Pasadena,United States,94000,https://en.wikipedia.org/wiki/Rose_Bowl_(stadium),"https://en.wikipedia.org/wiki/Pasadena,_California"
e9f8c206-d354-5fcc-84b4-4b49a8f991db,Estadio José Zorrilla,Valladolid,Spain,30000,https://en.wikipedia.org/wiki/Estadio_José_Zorrilla,https://en.wikipedia.org/wiki/Valladolid
ed2792aa-aaa3-5dd0-9310-ffd91d1337e6,Stade de Toulouse,Toulouse,France,37000,https://en.wikipedia.org/wiki/Stadium_Municipal,https://en.wikipedia.org/wiki/Toulouse
ed66a73e-e369-55bc-8f4d-61ad052c0788,Ulsan Munsu Football Stadium,Ulsan,South Korea,44000,https://en.wikipedia.org/wiki/Ulsan_Munsu_Football_Stadium,https://en.wikipedia.org/wiki/Ulsan
edf2c684-d6f9-537e-a444-848e43f68c7b,Lincoln Financial Field,Philadelphia,United States,70000,https://en.wikipedia.org/wiki/Lincoln_Financial_Field,https://en.wikipedia.org/wiki/Philadelphia
ef5e39eb-0162-5362-914d-a4326fff52e4,Edin Park,Auckland,New Zealand,43000,https://en.wikipedia.org/wiki/Eden_Park,https://en.wikipedia.org/wiki/Auckland
efa11341-aef3-5f8e-aa5d-07f48b03517d,Waikato Stadium,Hamilton,New Zealand,18000,https://en.wikipedia.org/wiki/Waikato_Stadium,"https://en.wikipedia.org/wiki/Hamilton,_New_Zealand"
efe26b3b-6b81-5369-94b6-b087335267f2,Vélodrome Municipal,Reims,France,22000,https://en.wikipedia.org/wiki/Stade_Auguste_Delaune,https://en.wikipedia.org/wiki/Reims
f0ecb06d-2cf8-5480-a371-9218480cbf09,Arena Pantanal,Cuiabá,Brazil,41000,https://en.wikipedia.org/wiki/Arena_Pantanal,https://en.wikipedia.org/wiki/Cuiabá
f1442359-3a39-587e-9184-5e566946556e,Rose Bowl,Los Angeles,United States,96000,https://en.wikipedia.org/wiki/Rose_Bowl_(stadium),https://en.wikipedia.org/wiki/Los_Angeles
f1c1784c-4cc0-5363-a9fc-c1a55f9a647a,Investors Group Field,Winnipeg,Canada,33000,https://en.wikipedia.org/wiki/Investors_Group_Field,https://en.wikipedia.org/wiki/Winnipeg
