tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,squad_position_name,squad_position_code
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,f90bf50d-2d52-5bd9-b6b0-ebf2eabf96b7,Pereyra,Solana,23,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,18e213ed-8785-5313-a81e-047107b0f23b,Williams,Lydia,1,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,f3bc7988-cf31-5818-b441-514a56646951,Simon,Gema,2,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,5f0afabf-409d-50da-adb6-2ed2ed55cecc,Luik,Aivi,3,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,9aeaeec2-b24f-5eab-9953-2f5e0e77a26e,Polkinghorne,Clare,4,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,05f346c2-1476-510c-bd43-c80e819661fb,Roestbakken,Karly,5,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,f5cd0e24-07c1-5563-955a-f8bbbecb2dc7,Logarzo,Chloe,6,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,46241ba0-646c-5482-a2c5-2354d465ed79,Catley,Steph,7,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,f915e98b-7cae-50d5-bc30-fa9fd949e21a,Kellond-Knight,Elise,8,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,48579023-a9b6-5e96-9a12-95ab476a11fc,Foord,Caitlin,9,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,a8597732-5dc7-582a-ad28-1d4cd7bbe0c0,van Egmond,Emily,10,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,82c69037-f3dc-5129-9b21-2c4c0cfc4174,De Vanna,Lisa,11,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,c512dadd-52fa-52ba-8a90-ed50b3ffc718,Micah,Teagan,12,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,fad78d20-ec5b-53ca-87b3-fa26bc8af129,Yallop,Tameka,13,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,6d8d82f6-e377-5244-9c71-6fa60f39f659,Kennedy,Alanna,14,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,2b0b0011-4866-5e7e-aeaa-d65ce5452bfe,Gielnik,Emily,15,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,49c18189-ac4e-5a03-8641-db063d8cb477,Raso,Hayley,16,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,5bf5deb9-93a8-5e16-b83f-e9413dd84286,Fowler,Mary,17,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,e7fb88f2-991e-5732-8947-e6f0cf915e0f,Arnold,Mackenzie,18,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,35db4a80-5254-54b5-97d9-8b4d7f385394,Gorry,Katrina,19,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,2d785410-2307-5042-ab2a-ab25e7c051c3,Kerr,Sam,20,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,95e86804-1f77-53f1-ae90-1e906ecc47d8,Carpenter,Ellie,21,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,5dcf4592-cfa5-56aa-9d42-a9225c095cdc,Harrison,Amy,22,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,4b439529-0877-5423-9a27-7c0496c61d53,Allen,Teigen,23,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,35f89b37-fa45-55e0-8243-4c23018c29ac,Bárbara,,1,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,16db1031-a49c-5b99-890e-d911abc9ba41,Poliana,,2,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,5c044d63-1990-501f-aa78-1d8598320762,Daiane,,3,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,5006fabb-2a65-5d8c-bc85-1316dbb2881d,Tayla,,4,defender,DF
