referee_id,family_name,given_name,male,female,country_name,confederation_id,confederation_name,confederation_code,wikipedia_link_referee
fd701b2f-9a36-5695-8eb1-2f35561f1427,González,Epifanio,TRUE,FALSE,Paraguay,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Epifanio_Gonz%C3%A1lez
1330884d-04e4-56cf-ad0a-b115036e7ffa,González,Gabriel,TRUE,FALSE,Paraguay,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Gabriel_Gonz%C3%A1lez_(referee)
f57dfe5f-6079-5f42-a457-765e52835383,González Archundía,Alfonso,TRUE,FALSE,Mexico,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,
834ad834-2756-5c00-8040-f0d60587d235,Gordon,John,TRUE,FALSE,Scotland,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/John_Gordon_(referee)
0b181e1c-2ce8-5bd4-a7f0-a2079cd015b1,Griffiths,Sandy,TRUE,FALSE,Wales,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sandy_Griffiths
dedd90d0-311c-5f4d-93bd-3597f32182df,Grisha,Gehad,TRUE,FALSE,Egypt,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Gehad_Grisha
15f0e3f3-2360-5f15-8733-b873d1c3993a,Guerrero Orosco,César,TRUE,FALSE,Peru,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,
536f1d4d-0cee-5a76-b985-5c467df4cc98,Guezzaz,Mohamed,TRUE,FALSE,Morocco,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Mohamed_Guezzaz
3beaa6a2-0cda-56ff-bd8d-0968a673f76a,Guigue,Maurice,TRUE,FALSE,France,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Maurice_Guigue
59701a53-4203-5b0b-a0d1-83a702a72729,Günthner,Elke,FALSE,TRUE,Germany,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
e4ed4941-c529-537c-bf3e-3b7eceecd854,Haimoudi,Djamel,TRUE,FALSE,Algeria,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Djamel_Haimoudi
8283394e-be44-5d1d-bc79-91c3585f758c,Hall,Brian,TRUE,FALSE,United States,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Brian_Hall_(referee)
5c24d82f-cb3f-55a5-9474-549d256218be,Hamer,Alain,TRUE,FALSE,Luxembourg,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Alain_Hamer
9e3c3df5-5979-54f6-8c12-9771605534de,Hassan Mohamed,Mohammed Abdulla,TRUE,FALSE,United Arab Emirates,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Mohammed_Abdulla_Hassan_Mohamed
9690d641-a24c-52a1-a35f-895138a747ef,Hauge,Terje,TRUE,FALSE,Norway,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Terje_Hauge
87d203d2-9844-5f02-9d59-741529fafef6,Heikkinen,Kirsi,FALSE,TRUE,Finland,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Kirsi_Heikkinen
81901f66-9beb-5f75-880f-7a3852b4ae38,Hepburn,Catherine Leann,FALSE,TRUE,United States,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,
398888d8-73e9-5c9e-a83e-108b72d45fd9,Hester,Michael,TRUE,FALSE,New Zealand,af3baf15-a112-506c-a9a3-872a8414a8e2,Oceania Football Confederation,OFC,https://en.wikipedia.org/wiki/Michael_Hester
aec2fd6b-19b0-502d-966b-2da9170d1ec4,Heynemann,Bernd,TRUE,FALSE,Germany,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bernd_Heynemann
8990ff3f-27b3-5e71-9d46-f5fb8f4a9d1d,Hormazábal Díaz,Rafael,TRUE,FALSE,Chile,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,
4a8ff341-17af-5065-8121-692a98cce46a,Horn,Leo,TRUE,FALSE,Netherlands,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Leo_Horn
1c483b22-d84f-52c2-9dc8-e896c33082ca,Huerta de Aza,Marta,FALSE,TRUE,Spain,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Marta_Huerta_de_Aza
277c9b7b-6e47-5dcf-a4a3-86a6679f2c55,Hunt,Sandra,FALSE,TRUE,United States,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Sandra_Hunt
b34d0959-f512-5a93-a0d3-6ff0e039e059,Hussein,Riem,FALSE,TRUE,Germany,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Riem_Hussein
0731c233-7a43-5290-9ac6-13ef192e17d9,Igna,Ioan,TRUE,FALSE,Romania,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Ioan_Igna
bb3a66bb-406b-5c50-a2e6-f622c17d9098,Im,Eun-ju,FALSE,TRUE,South Korea,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Im_Eun-ju
3aabb90a-f2c2-517f-9a44-e97ff56117e8,Imperatore,Salvador,TRUE,FALSE,Chile,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Salvador_Imperatore
b0b2141d-3326-5979-ac14-127491988ce7,Ionescu,Cristina,FALSE,TRUE,Romania,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
de320aae-309e-59cd-a8be-09be55d3e6e0,Irmatov,Ravshan,TRUE,FALSE,Uzbekistan,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Ravshan_Irmatov
7a3bbfdb-43bb-5472-bc74-161a889864d4,Ithurralde,Arturo,TRUE,FALSE,Argentina,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Arturo_Ithurralde
96e180f9-df84-5baf-9990-f5c758416bcb,Ivanov,Valentin,TRUE,FALSE,Russia,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Valentin_Ivanov_(footballer_born_1961)
9bb784e2-63bf-56db-91e7-871cbe1d9135,Jacewicz,Kate,FALSE,TRUE,Australia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Kate_Jacewicz
ab12e61f-d829-5771-8d29-ec6f523e3eea,Jarguz,Alojzy,TRUE,FALSE,Poland,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
fa9c7b03-a012-559e-964f-3266aec06c21,Jonni,Cesare,TRUE,FALSE,Italy,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Cesare_Jonni
2bb3152b-78b0-5403-b3cf-f4f5c8e2c851,Jonsson,Ingrid,FALSE,TRUE,Sweden,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
d184b5b4-61eb-5a1f-ac5b-f5a04de4c46a,Jouini,Neji,TRUE,FALSE,Tunisia,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Neji_Jouini
ebce894b-c9eb-58fb-971d-a0e4296c91e3,Jácome,Elías,TRUE,FALSE,Ecuador,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/El%C3%ADas_J%C3%A1come
428bf62c-8ef4-56a3-847a-181db264500a,Jørgensen,Carl,TRUE,FALSE,Denmark,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
5f867b06-3c10-57a0-ab38-d39b3c03942c,Kamikawa,Toru,TRUE,FALSE,Japan,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Toru_Kamikawa
6dfba9a1-f211-5518-80c4-9565d4edc70d,Kamnueng,Pannipar,FALSE,TRUE,Thailand,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Pannipar_Kamnueng
de1b257c-6f95-5387-a5f8-051dea457fbe,Kandil,Ali,TRUE,FALSE,United Arab Republic,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Ali_Kandil
80e9b43b-2c59-5052-b325-6833543e3c5b,Karasev,Sergei,TRUE,FALSE,Russia,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sergei_Karasev
a4162f0a-e59a-5e64-b68b-b4f7cc9e08b0,Karboubi,Bouchra,FALSE,TRUE,Morocco,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,
b6fe5818-91b1-5ecd-a531-094c82f255a8,Karlsson,Bo,TRUE,FALSE,Sweden,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bo_Karlsson
bfe40757-65f2-5e09-a8e8-f75216567fe4,Kassai,Viktor,TRUE,FALSE,Hungary,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Viktor_Kassai
e2b79a3f-3b81-54b3-8965-56b6a3695bb5,Kazakov,Pavel,TRUE,FALSE,Soviet Union,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Pavel_Kazakov
26a4b548-c0f6-5ea5-9b95-9bb0d8cfc24a,Keighley,Anna-Marie,FALSE,TRUE,New Zealand,af3baf15-a112-506c-a9a3-872a8414a8e2,Oceania Football Confederation,OFC,https://en.wikipedia.org/wiki/Anna-Marie_Keighley
ea4888d0-8a2c-51c1-8d76-d55edf0ae8f4,Keizer,Jan,TRUE,FALSE,Netherlands,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jan_Keizer_(referee)
