tournament_id,tournament_name,team_id,team_name,team_code,manager_id,family_name,given_name,country_name
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,014f518c-a9a3-5edb-af68-39909dc0e3e7,Borrello,Carlos,Argentina
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,879c1298-9904-5b96-8f25-5e7d455ae2ec,Chile,CHL,06d3e1f0-e684-5ab2-87ed-aa065611fb62,Letelier,José,Chile
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,1234d812-2e40-561b-90a3-ed4f9e66bd63,Canada,CAN,083bf929-d49d-5827-bbcc-30818bfb9d0b,Heiner-Møller,Kenneth,Denmark
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,187544dc-4b46-5bf6-a079-e124899a9090,Norway,NOR,09727d93-8c8d-5f14-8310-0a909d495a04,Sjögren,Martin,Sweden
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,0d8f65a2-6956-59ed-9f0a-15a532e13110,Gerhardsson,Peter,Sweden
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,0dcc1801-2e81-5e85-a217-d8699d4bb3c2,Djeumfa,Alain,Cameroon
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,26b64e2f-4542-58bd-af23-d556e94efd30,Wiegman,Sarina,Netherlands
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,389ac5aa-edd2-5afd-87dc-c4f37c7e3934,Yoon,Deok-yeo,South Korea
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,43fb7640-96ba-5296-9f75-cb63de39b526,Vadão,,Brazil
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,13a7a10d-674d-5be2-bdfa-a0e18b0b6b04,Jamaica,JAM,68aea9cf-c23d-5637-b3bf-29454ae7e5f9,Menzies,Hue,Jamaica
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,69cbccc6-d19a-5a8d-a0eb-4ebf3d272ef5,Neville,Phil,England
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,86ee1636-7889-52ec-9d7c-d66525834347,Ellis,Jill,United States
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,11240419-821b-5fbb-bf15-4906f40e3951,New Zealand,NZL,90bff27f-6e34-5af1-b982-5ce612b94bc5,Sermanni,Tom,Scotland
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,e77d250a-1cec-5627-adc4-3cf95c7c0972,South Africa,ZAF,99fa2bcf-770f-5005-9a49-a84c5bd581db,Ellis,Desiree,South Africa
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,9abd5117-b8cb-5fd7-bd26-7d8750a98410,Bertolini,Milena,Italy
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,98d2c177-9d33-51f5-998a-7ad3ab0973fd,Thailand,THA,acf9d23e-a6da-5e5e-a05b-d6afaa5c6750,Srathongvian,Nuengrutai,Thailand
