match_id,match_slug,match_url,title,home_team,away_team,kickoff,round,venue,referee,status,home_score,away_score,category,player,saves,goals_conceded,xgot_faced,goals_prevented,acted_as_sweeper,high_claim,accurate_long_balls,accurate_passes
4667772,turkiye-vs-australia,https://www.fotmob.com/matches/turkiye-vs-australia/1gr3uk#4667772,Australia vs Turkiye (2026-06-14T04:00:00.000Z),Australia,Turkiye,2026-06-14T04:00:00.000Z,FIFA World Cup Round 1,,,Full time,2,0,Goalkeeping,Ugurcan Çakir,2,2,1.08,-0.92,2,1,3/4 (75%),19/20 (95%)
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany vs Curacao (2026-06-14T17:00:00.000Z),Germany,Curacao,2026-06-14T17:00:00.000Z,FIFA World Cup Round 1,Houston Stadium,Jalal Jayed,Full time,7,1,Goalkeeping,Eloy Room,4,7,5.24,-1.76,0,1,4/18 (22%),14/28 (50%)
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany vs Curacao (2026-06-14T17:00:00.000Z),Germany,Curacao,2026-06-14T17:00:00.000Z,FIFA World Cup Round 1,Houston Stadium,Jalal Jayed,Full time,7,1,Goalkeeping,Manuel Neuer,1,1,0.5,-0.5,2,0,4/7 (57%),19/22 (86%)
4667778,ecuador-vs-ivory-coast,https://www.fotmob.com/matches/ecuador-vs-ivory-coast/1hl6kp#4667778,Ivory Coast vs Ecuador (2026-06-14T23:00:00.000Z),Ivory Coast,Ecuador,2026-06-14T23:00:00.000Z,FIFA World Cup Round 1,Philadelphia Stadium,François Letexier,Full time,1,0,Goalkeeping,Hernán Galindez,3,1,1.22,0.22,0,0,3/16 (19%),19/32 (59%)
4667778,ecuador-vs-ivory-coast,https://www.fotmob.com/matches/ecuador-vs-ivory-coast/1hl6kp#4667778,Ivory Coast vs Ecuador (2026-06-14T23:00:00.000Z),Ivory Coast,Ecuador,2026-06-14T23:00:00.000Z,FIFA World Cup Round 1,Philadelphia Stadium,François Letexier,Full time,1,0,Goalkeeping,Yahia Fofana,1,0,0.03,0.03,0,1,3/16 (19%),12/25 (48%)
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden vs Tunisia (2026-06-15T02:00:00.000Z),Sweden,Tunisia,2026-06-15T02:00:00.000Z,FIFA World Cup Round 1,Monterrey Stadium,Yael Falcón Pérez,Full time,5,1,Goalkeeping,Abdelmouhib Chamakh,1,5,2.12,-2.88,0,1,3/11 (27%),11/19 (58%)
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden vs Tunisia (2026-06-15T02:00:00.000Z),Sweden,Tunisia,2026-06-15T02:00:00.000Z,FIFA World Cup Round 1,Monterrey Stadium,Yael Falcón Pérez,Full time,5,1,Goalkeeping,Kristoffer Nordfeldt,1,1,0.35,-0.65,0,1,8/17 (47%),19/28 (68%)
4667783,netherlands-vs-japan,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,Netherlands vs Japan (2026-06-14T20:00:00.000Z),Netherlands,Japan,2026-06-14T20:00:00.000Z,FIFA World Cup Round 1,Dallas Stadium,Ismail Elfath,Full time,2,2,Goalkeeping,Zion Suzuki,4,2,2.16,0.16,0,0,1/11 (9%),10/20 (50%)
4667783,netherlands-vs-japan,https://www.fotmob.com/matches/netherlands-vs-japan/1hn72b#4667783,Netherlands vs Japan (2026-06-14T20:00:00.000Z),Netherlands,Japan,2026-06-14T20:00:00.000Z,FIFA World Cup Round 1,Dallas Stadium,Ismail Elfath,Full time,2,2,Goalkeeping,Bart Verbruggen,1,2,1.32,-0.68,1,0,4/14 (29%),20/30 (67%)
4667791,new-zealand-vs-iran,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,Iran vs New Zealand (2026-06-16T01:00:00.000Z),Iran,New Zealand,2026-06-16T01:00:00.000Z,FIFA World Cup Round 1,Los Angeles Stadium,Cesar Ramos,Full time,2,2,Goalkeeping,Alireza Beiranvand,6,2,1.0,-1.0,0,0,0/2 (0%),14/16 (88%)
