team,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches_last_4y,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,draws_last_4y,losses_last_4y,world_cup_participations_before,world_cup_titles_before,data_as_of,ranking_source,recent_form_source,world_cup_history_source
Peru,53,1457.69,40,29,46,10,11,19,5,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Costa Rica,54,1456.03,54,91,81,21,15,18,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Romania,55,1455.89,43,73,44,20,12,11,7,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Mali,56,1455.59,40,61,25,20,13,7,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Iraq,57,1446.28,53,72,50,28,12,13,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Republic of Ireland,58,1441.1,40,48,50,15,9,16,3,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Slovenia,59,1441.09,43,55,42,19,16,8,2,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Saudi Arabia,60,1423.88,68,75,69,26,18,24,6,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
South Africa,61,1414.88,57,82,47,26,23,8,3,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Burkina Faso,62,1406.99,49,76,52,24,11,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bosnia and Herzegovina,63,1395.19,37,45,63,11,9,17,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Jordan,64,1387.74,55,93,72,25,12,18,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Honduras,65,1378.97,47,62,57,19,11,17,3,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Albania,66,1376.03,42,46,40,16,9,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Cabo Verde,67,1371.11,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
United Arab Emirates,68,1370.47,48,69,52,20,13,15,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
North Macedonia,69,1369.16,39,42,57,12,12,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Northern Ireland,70,1365.3,36,42,46,14,5,17,3,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Jamaica,71,1357.84,58,78,64,25,15,18,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Georgia,72,1355.26,40,72,58,17,8,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Ghana,73,1346.88,43,55,55,15,11,17,4,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Iceland,74,1342.77,45,62,72,13,9,23,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Finland,75,1341.92,41,50,65,13,6,22,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Israel,76,1333.9,35,53,61,14,6,15,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bolivia,77,1326.0,44,33,84,11,4,29,3,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Kosovo,78,1319.12,37,58,42,17,10,10,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Oman,79,1306.9,55,59,54,23,15,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Montenegro,80,1301.98,39,45,62,14,5,20,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Guinea,81,1295.6,38,54,40,16,8,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Curaçao,82,1294.77,36,63,48,13,10,13,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Syria,83,1283.05,43,54,52,15,9,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Haiti,84,1277.67,35,82,39,18,8,9,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
New Zealand,85,1275.58,36,63,41,13,6,17,2,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Gabon,86,1272.51,33,52,50,15,5,13,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bulgaria,87,1271.68,38,41,60,9,13,16,7,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Angola,88,1265.58,47,54,38,17,20,10,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Uganda,89,1264.09,34,34,43,14,4,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Zambia,90,1255.82,40,50,55,16,8,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
China PR,91,1254.81,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bahrain,92,1254.41,51,55,72,18,9,24,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Benin,93,1252.17,36,35,51,10,10,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Thailand,94,1250.8,57,108,70,28,14,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Palestine,95,1243.71,37,33,42,8,14,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Belarus,96,1242.88,38,40,59,11,12,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Guatemala,97,1238.74,54,66,78,18,13,23,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Luxembourg,98,1232.82,37,28,60,8,10,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Vietnam,99,1225.68,45,78,51,25,5,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
El Salvador,100,1225.34,46,38,62,10,15,21,2,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Tajikistan,101,1224.19,37,50,38,14,13,10,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Trinidad and Tobago,102,1219.59,50,70,86,16,15,19,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Mozambique,103,1218.62,43,50,64,14,11,18,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Madagascar,104,1202.69,35,47,49,13,8,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Equatorial Guinea,105,1195.2,39,40,47,12,12,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Kyrgyz Republic,106,1192.16,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Armenia,107,1189.63,38,40,86,6,8,24,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Comoros,108,1187.91,48,54,62,16,11,21,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Kenya,109,1185.08,31,38,41,9,11,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Libya,110,1182.08,32,39,31,13,12,7,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Kazakhstan,111,1180.78,39,41,67,13,4,22,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Tanzania,112,1180.27,39,29,39,10,10,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Mauritania,113,1176.68,39,28,43,10,11,18,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Niger,114,1175.33,34,39,46,9,7,18,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Lebanon,115,1172.22,35,43,35,12,9,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
The Gambia,116,1159.64,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Sudan,117,1157.22,36,22,38,9,12,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Indonesia,118,1157.14,52,84,72,22,11,19,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Togo,119,1152.76,29,34,36,8,11,10,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
DPR Korea,120,1151.05,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Namibia,121,1148.84,35,26,40,8,12,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Sierra Leone,122,1147.56,29,32,47,8,8,13,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Faroe Islands,123,1136.59,38,33,51,10,8,20,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Cyprus,124,1133.25,38,43,81,10,6,22,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Suriname,125,1132.43,30,43,31,11,10,9,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Azerbaijan,126,1132.0,37,41,72,11,6,20,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Estonia,127,1130.64,42,40,77,10,9,23,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Rwanda,128,1126.62,28,20,26,8,9,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Malawi,129,1122.05,35,33,38,10,11,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Zimbabwe,130,1119.78,26,23,31,5,10,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Nicaragua,131,1114.63,39,49,54,13,7,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Guinea-Bissau,132,1108.38,31,22,44,6,8,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Kuwait,133,1106.47,48,57,70,14,15,19,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Congo,134,1105.96,18,16,39,2,5,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Philippines,135,1100.95,38,56,63,13,7,18,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Malaysia,136,1086.22,45,88,50,25,11,9,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Latvia,137,1085.66,37,26,61,5,11,21,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
India,138,1084.93,36,30,41,7,13,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Central African Republic,139,1080.82,25,34,47,8,3,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Liberia,140,1080.44,30,30,46,7,8,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Turkmenistan,141,1078.65,20,21,31,5,4,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
