source_league,source_season,date,round,home_team,score,away_team,venue,game_id
INT-European Championship,2024,2024-06-14,Group stage,Germany,5–1,Scotland,Allianz Arena (Neutral Site),bd775264
INT-European Championship,2024,2024-06-15,Group stage,Hungary,1–3,Switzerland,RheinEnergieSTADION (Neutral Site),c15ec4e7
INT-European Championship,2024,2024-06-15,Group stage,Italy,2–1,Albania,Signal Iduna Park (Neutral Site),4891e62c
INT-European Championship,2024,2024-06-15,Group stage,Spain,3–0,Croatia,Olympiastadion Berlin (Neutral Site),b996c4de
INT-European Championship,2024,2024-06-16,Group stage,Poland,1–2,Netherlands,Volksparkstadion (Neutral Site),923de563
INT-European Championship,2024,2024-06-16,Group stage,Serbia,0–1,England,Veltins-Arena (Neutral Site),94c752b7
INT-European Championship,2024,2024-06-16,Group stage,Slovenia,1–1,Denmark,MHPArena (Neutral Site),e58cc259
INT-European Championship,2024,2024-06-17,Group stage,Austria,0–1,France,Merkur Spielarena (Neutral Site),3d8961eb
INT-European Championship,2024,2024-06-17,Group stage,Belgium,0–1,Slovakia,Deutsche Bank Park (Neutral Site),5bda83ea
INT-European Championship,2024,2024-06-17,Group stage,Romania,3–0,Ukraine,Allianz Arena (Neutral Site),67c17ad9
INT-European Championship,2024,2024-06-18,Group stage,Portugal,2–1,Czechia,Red Bull Arena (Neutral Site),5e8192b8
INT-European Championship,2024,2024-06-18,Group stage,Türkiye,3–1,Georgia,Signal Iduna Park (Neutral Site),36e9e40e
INT-European Championship,2024,2024-06-19,Group stage,Croatia,2–2,Albania,Volksparkstadion (Neutral Site),30406358
INT-European Championship,2024,2024-06-19,Group stage,Germany,2–0,Hungary,MHPArena (Neutral Site),248233a8
INT-European Championship,2024,2024-06-19,Group stage,Scotland,1–1,Switzerland,RheinEnergieSTADION (Neutral Site),5ef87a15
INT-European Championship,2024,2024-06-20,Group stage,Denmark,1–1,England,Deutsche Bank Park (Neutral Site),6cfeccb2
INT-European Championship,2024,2024-06-20,Group stage,Slovenia,1–1,Serbia,Allianz Arena (Neutral Site),874a95ef
INT-European Championship,2024,2024-06-20,Group stage,Spain,1–0,Italy,Veltins-Arena (Neutral Site),3f7c6e94
INT-European Championship,2024,2024-06-21,Group stage,Netherlands,0–0,France,Red Bull Arena (Neutral Site),ad8d106c
INT-European Championship,2024,2024-06-21,Group stage,Poland,1–3,Austria,Olympiastadion Berlin (Neutral Site),298d4d8f
INT-European Championship,2024,2024-06-21,Group stage,Slovakia,1–2,Ukraine,Merkur Spielarena (Neutral Site),73849328
INT-European Championship,2024,2024-06-22,Group stage,Belgium,2–0,Romania,RheinEnergieSTADION (Neutral Site),e0d67eb9
INT-European Championship,2024,2024-06-22,Group stage,Georgia,1–1,Czechia,Volksparkstadion (Neutral Site),aab219f9
INT-European Championship,2024,2024-06-22,Group stage,Türkiye,0–3,Portugal,Signal Iduna Park (Neutral Site),5448c54c
INT-European Championship,2024,2024-06-23,Group stage,Scotland,0–1,Hungary,MHPArena (Neutral Site),2351343a
INT-European Championship,2024,2024-06-23,Group stage,Switzerland,1–1,Germany,Deutsche Bank Park (Neutral Site),14e2c55d
INT-European Championship,2024,2024-06-24,Group stage,Albania,0–1,Spain,Merkur Spielarena (Neutral Site),fde83534
INT-European Championship,2024,2024-06-24,Group stage,Croatia,1–1,Italy,Red Bull Arena (Neutral Site),015e81b4
INT-European Championship,2024,2024-06-25,Group stage,Denmark,0–0,Serbia,Allianz Arena (Neutral Site),5c5484a4
INT-European Championship,2024,2024-06-25,Group stage,England,0–0,Slovenia,RheinEnergieSTADION (Neutral Site),7f111a22
INT-European Championship,2024,2024-06-25,Group stage,France,1–1,Poland,Signal Iduna Park (Neutral Site),c410511b
INT-European Championship,2024,2024-06-25,Group stage,Netherlands,2–3,Austria,Olympiastadion Berlin (Neutral Site),031f8ef3
INT-European Championship,2024,2024-06-26,Group stage,Czechia,1–2,Türkiye,Volksparkstadion (Neutral Site),8824c255
INT-European Championship,2024,2024-06-26,Group stage,Georgia,2–0,Portugal,Veltins-Arena (Neutral Site),24322b1d
INT-European Championship,2024,2024-06-26,Group stage,Slovakia,1–1,Romania,Deutsche Bank Park (Neutral Site),00199be7
INT-European Championship,2024,2024-06-26,Group stage,Ukraine,0–0,Belgium,MHPArena (Neutral Site),2f0d1c11
INT-European Championship,2024,2024-06-29,Round of 16,Germany,2–0,Denmark,Signal Iduna Park (Neutral Site),c7429dd6
INT-European Championship,2024,2024-06-29,Round of 16,Switzerland,2–0,Italy,Olympiastadion Berlin (Neutral Site),9b4d5970
INT-European Championship,2024,2024-06-30,Round of 16,England,2–1,Slovakia,Veltins-Arena (Neutral Site),2b26dc4f
INT-European Championship,2024,2024-06-30,Round of 16,Spain,4–1,Georgia,RheinEnergieSTADION (Neutral Site),87e35d10
INT-European Championship,2024,2024-07-01,Round of 16,France,1–0,Belgium,Merkur Spielarena (Neutral Site),ffae1046
INT-European Championship,2024,2024-07-01,Round of 16,Portugal,(3) 0–0 (0),Slovenia,Deutsche Bank Park (Neutral Site),fd6c3c0d
INT-European Championship,2024,2024-07-02,Round of 16,Austria,1–2,Türkiye,Red Bull Arena (Neutral Site),f575ef3e
INT-European Championship,2024,2024-07-02,Round of 16,Romania,0–3,Netherlands,Allianz Arena (Neutral Site),82b4d2f5
INT-European Championship,2024,2024-07-05,Quarter-finals,Portugal,(3) 0–0 (5),France,Volksparkstadion (Neutral Site),8e55d3ab
INT-European Championship,2024,2024-07-05,Quarter-finals,Spain,2–1,Germany,MHPArena (Neutral Site),0baf4cfa
INT-European Championship,2024,2024-07-06,Quarter-finals,England,(5) 1–1 (3),Switzerland,Merkur Spielarena (Neutral Site),54e21415
INT-European Championship,2024,2024-07-06,Quarter-finals,Netherlands,2–1,Türkiye,Olympiastadion Berlin (Neutral Site),e8c79df4
INT-European Championship,2024,2024-07-09,Semi-finals,Spain,2–1,France,Allianz Arena (Neutral Site),34d4d9d2
INT-European Championship,2024,2024-07-10,Semi-finals,Netherlands,1–2,England,Signal Iduna Park (Neutral Site),dbff0752
INT-European Championship,2024,2024-07-14,Final,Spain,2–1,England,Olympiastadion Berlin (Neutral Site),e307ecc0
INT-Copa America,2024,2024-06-20,Group stage,Argentina,2–0,Canada,Mercedes-Benz Stadium (Neutral Site),09240291
INT-Copa America,2024,2024-06-21,Group stage,Peru,0–0,Chile,AT&T Stadium (Neutral Site),bd3495a6
INT-Copa America,2024,2024-06-22,Group stage,Ecuador,1–2,Venezuela,Levi's Stadium (Neutral Site),6bdbfc68
INT-Copa America,2024,2024-06-22,Group stage,Mexico,1–0,Jamaica,NRG Stadium (Neutral Site),652c8ecd
INT-Copa America,2024,2024-06-23,Group stage,United States,2–0,Bolivia,AT&T Stadium (Neutral Site),f4baac63
INT-Copa America,2024,2024-06-23,Group stage,Uruguay,3–1,Panama,Hard Rock Stadium (Neutral Site),504e7c6b
INT-Copa America,2024,2024-06-24,Group stage,Brazil,0–0,Costa Rica,SoFi Stadium (Neutral Site),9e7417ae
INT-Copa America,2024,2024-06-24,Group stage,Colombia,2–1,Paraguay,NRG Stadium (Neutral Site),5b537cd5
INT-Copa America,2024,2024-06-25,Group stage,Chile,0–1,Argentina,MetLife Stadium (Neutral Site),0207ba60
INT-Copa America,2024,2024-06-25,Group stage,Peru,0–1,Canada,Children's Mercy Park (Neutral Site),56faeaf9
INT-Copa America,2024,2024-06-26,Group stage,Ecuador,3–1,Jamaica,Allegiant Stadium (Neutral Site),db1a96ef
INT-Copa America,2024,2024-06-26,Group stage,Venezuela,1–0,Mexico,SoFi Stadium (Neutral Site),434eeeb4
INT-Copa America,2024,2024-06-27,Group stage,Panama,2–1,United States,Mercedes-Benz Stadium (Neutral Site),eb5b0b7b
INT-Copa America,2024,2024-06-27,Group stage,Uruguay,5–0,Bolivia,MetLife Stadium (Neutral Site),873350d2
INT-Copa America,2024,2024-06-28,Group stage,Colombia,3–0,Costa Rica,State Farm Stadium (Neutral Site),a79510cb
INT-Copa America,2024,2024-06-28,Group stage,Paraguay,1–4,Brazil,Allegiant Stadium (Neutral Site),db2faedf
INT-Copa America,2024,2024-06-29,Group stage,Argentina,2–0,Peru,Hard Rock Stadium (Neutral Site),0f761088
INT-Copa America,2024,2024-06-29,Group stage,Canada,0–0,Chile,Inter&Co Stadium (Neutral Site),01a7c36f
INT-Copa America,2024,2024-06-30,Group stage,Jamaica,0–3,Venezuela,Q2 Stadium (Neutral Site),8e6f1f63
INT-Copa America,2024,2024-06-30,Group stage,Mexico,0–0,Ecuador,State Farm Stadium (Neutral Site),1e4d784d
INT-Copa America,2024,2024-07-01,Group stage,Bolivia,1–3,Panama,Inter&Co Stadium (Neutral Site),9ab02fd0
INT-Copa America,2024,2024-07-01,Group stage,United States,0–1,Uruguay,GEHA Field at Arrowhead Stadium (Neutral Site),3597f034
INT-Copa America,2024,2024-07-02,Group stage,Brazil,1–1,Colombia,Levi's Stadium (Neutral Site),438b034c
INT-Copa America,2024,2024-07-02,Group stage,Costa Rica,2–1,Paraguay,Q2 Stadium (Neutral Site),c6ecd916
INT-Copa America,2024,2024-07-04,Quarter-finals,Argentina,(4) 1–1 (2),Ecuador,NRG Stadium (Neutral Site),be34c6db
INT-Copa America,2024,2024-07-05,Quarter-finals,Venezuela,(3) 1–1 (4),Canada,AT&T Stadium (Neutral Site),ca63b471
INT-Copa America,2024,2024-07-06,Quarter-finals,Colombia,5–0,Panama,State Farm Stadium (Neutral Site),1cf59899
INT-Copa America,2024,2024-07-06,Quarter-finals,Uruguay,(4) 0–0 (2),Brazil,Allegiant Stadium (Neutral Site),c63a9e9c
INT-Copa America,2024,2024-07-09,Semi-finals,Argentina,2–0,Canada,MetLife Stadium (Neutral Site),4803e5f9
INT-Copa America,2024,2024-07-10,Semi-finals,Uruguay,0–1,Colombia,Bank of America Stadium (Neutral Site),08d6e96b
INT-Copa America,2024,2024-07-13,Third-place match,Canada,(3) 2–2 (4),Uruguay,Bank of America Stadium (Neutral Site),2466e9ff
INT-Copa America,2024,2024-07-14,Final,Argentina,1–0,Colombia,Hard Rock Stadium (Neutral Site),39b037a9
INT-Africa Cup of Nations,2023,2024-01-13,Group stage,Côte d'Ivoire,2–0,Guinea-Bissau,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),42104bec
INT-Africa Cup of Nations,2023,2024-01-14,Group stage,Egypt,2–2,Mozambique,Stade Félix Houphouët-Boigny (Neutral Site),b4accf41
INT-Africa Cup of Nations,2023,2024-01-14,Group stage,Ghana,1–2,Cabo Verde,Stade Félix Houphouët-Boigny (Neutral Site),be716202
INT-Africa Cup of Nations,2023,2024-01-14,Group stage,Nigeria,1–1,Equ. Guinea,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),e99d7cd8
INT-Africa Cup of Nations,2023,2024-01-15,Group stage,Algeria,1–1,Angola,Stade de la Paix (Neutral Site),e0c0a109
INT-Africa Cup of Nations,2023,2024-01-15,Group stage,Cameroon,1–1,Guinea,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),8f5f1477
INT-Africa Cup of Nations,2023,2024-01-15,Group stage,Senegal,3–0,Gambia,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),c6f1452c
INT-Africa Cup of Nations,2023,2024-01-16,Group stage,Burkina Faso,1–0,Mauritania,Stade de la Paix (Neutral Site),ddb9173c
INT-Africa Cup of Nations,2023,2024-01-16,Group stage,Mali,2–0,South Africa,Stade Amadou Gon Coulibaly (Neutral Site),a42f6f20
INT-Africa Cup of Nations,2023,2024-01-16,Group stage,Tunisia,0–1,Namibia,Stade Amadou Gon Coulibaly (Neutral Site),93540241
INT-Africa Cup of Nations,2023,2024-01-17,Group stage,Congo DR,1–1,Zambia,Stade Laurent Pokou (Neutral Site),279c99c1
INT-Africa Cup of Nations,2023,2024-01-17,Group stage,Morocco,3–0,Tanzania,Stade Laurent Pokou (Neutral Site),020f8c71
INT-Africa Cup of Nations,2023,2024-01-18,Group stage,Côte d'Ivoire,0–1,Nigeria,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),32eaeb87
INT-Africa Cup of Nations,2023,2024-01-18,Group stage,Egypt,2–2,Ghana,Stade Félix Houphouët-Boigny (Neutral Site),4335f5ee
INT-Africa Cup of Nations,2023,2024-01-18,Group stage,Equ. Guinea,4–2,Guinea-Bissau,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),d559ba2a
INT-Africa Cup of Nations,2023,2024-01-19,Group stage,Cabo Verde,3–0,Mozambique,Stade Félix Houphouët-Boigny (Neutral Site),fabf3af0
INT-Africa Cup of Nations,2023,2024-01-19,Group stage,Guinea,1–0,Gambia,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),85ffd4a1
INT-Africa Cup of Nations,2023,2024-01-19,Group stage,Senegal,3–1,Cameroon,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),c1764f4c
INT-Africa Cup of Nations,2023,2024-01-20,Group stage,Algeria,2–2,Burkina Faso,Stade de la Paix (Neutral Site),fbf933fe
INT-Africa Cup of Nations,2023,2024-01-20,Group stage,Mauritania,2–3,Angola,Stade de la Paix (Neutral Site),7a38451f
INT-Africa Cup of Nations,2023,2024-01-20,Group stage,Tunisia,1–1,Mali,Stade Amadou Gon Coulibaly (Neutral Site),cf6c1af5
INT-Africa Cup of Nations,2023,2024-01-21,Group stage,Morocco,1–1,Congo DR,Stade Laurent Pokou (Neutral Site),2f260b7c
INT-Africa Cup of Nations,2023,2024-01-21,Group stage,South Africa,4–0,Namibia,Stade Amadou Gon Coulibaly (Neutral Site),9140d792
INT-Africa Cup of Nations,2023,2024-01-21,Group stage,Zambia,1–1,Tanzania,Stade Laurent Pokou (Neutral Site),a053f3ab
INT-Africa Cup of Nations,2023,2024-01-22,Group stage,Cabo Verde,2–2,Egypt,Stade Félix Houphouët-Boigny (Neutral Site),509931aa
INT-Africa Cup of Nations,2023,2024-01-22,Group stage,Equ. Guinea,4–0,Côte d'Ivoire,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),e4ab20d2
INT-Africa Cup of Nations,2023,2024-01-22,Group stage,Guinea-Bissau,0–1,Nigeria,Stade Félix Houphouët-Boigny (Neutral Site),aa5cbdfe
INT-Africa Cup of Nations,2023,2024-01-22,Group stage,Mozambique,2–2,Ghana,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),90297e1c
INT-Africa Cup of Nations,2023,2024-01-23,Group stage,Angola,2–0,Burkina Faso,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),2f5f5d75
INT-Africa Cup of Nations,2023,2024-01-23,Group stage,Gambia,2–3,Cameroon,Stade de la Paix (Neutral Site),4158e2e5
INT-Africa Cup of Nations,2023,2024-01-23,Group stage,Guinea,0–2,Senegal,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),ac94db0b
INT-Africa Cup of Nations,2023,2024-01-23,Group stage,Mauritania,1–0,Algeria,Stade de la Paix (Neutral Site),11d63f92
INT-Africa Cup of Nations,2023,2024-01-24,Group stage,Namibia,0–0,Mali,Stade Laurent Pokou (Neutral Site),af50dffe
INT-Africa Cup of Nations,2023,2024-01-24,Group stage,South Africa,0–0,Tunisia,Stade Amadou Gon Coulibaly (Neutral Site),529e14d2
INT-Africa Cup of Nations,2023,2024-01-24,Group stage,Tanzania,0–0,Congo DR,Stade Amadou Gon Coulibaly (Neutral Site),a558cd14
INT-Africa Cup of Nations,2023,2024-01-24,Group stage,Zambia,0–1,Morocco,Stade Laurent Pokou (Neutral Site),1114524d
INT-Africa Cup of Nations,2023,2024-01-27,Round of 16,Angola,3–0,Namibia,Stade de la Paix (Neutral Site),96faf157
INT-Africa Cup of Nations,2023,2024-01-27,Round of 16,Nigeria,2–0,Cameroon,Stade Félix Houphouët-Boigny (Neutral Site),15074054
INT-Africa Cup of Nations,2023,2024-01-28,Round of 16,Egypt,(7) 1–1 (8),Congo DR,Stade Laurent Pokou (Neutral Site),9f36f6bd
INT-Africa Cup of Nations,2023,2024-01-28,Round of 16,Equ. Guinea,0–1,Guinea,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),9f7b1511
INT-Africa Cup of Nations,2023,2024-01-29,Round of 16,Cabo Verde,1–0,Mauritania,Stade Félix Houphouët-Boigny (Neutral Site),2d7909df
INT-Africa Cup of Nations,2023,2024-01-29,Round of 16,Senegal,(4) 1–1 (5),Côte d'Ivoire,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),b32d646d
INT-Africa Cup of Nations,2023,2024-01-30,Round of 16,Mali,2–1,Burkina Faso,Stade Amadou Gon Coulibaly (Neutral Site),bdadd648
INT-Africa Cup of Nations,2023,2024-01-30,Round of 16,Morocco,0–2,South Africa,Stade Laurent Pokou (Neutral Site),3ec95ed2
INT-Africa Cup of Nations,2023,2024-02-02,Quarter-finals,Congo DR,3–1,Guinea,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),dc2411b9
INT-Africa Cup of Nations,2023,2024-02-02,Quarter-finals,Nigeria,1–0,Angola,Stade Félix Houphouët-Boigny (Neutral Site),6a0bd9a3
INT-Africa Cup of Nations,2023,2024-02-03,Quarter-finals,Cabo Verde,(1) 0–0 (2),South Africa,Stade Charles Konan Banny de Yamoussoukr... (Neutral Site),175be3f8
INT-Africa Cup of Nations,2023,2024-02-03,Quarter-finals,Mali,1–2,Côte d'Ivoire,Stade de la Paix (Neutral Site),fe799789
INT-Africa Cup of Nations,2023,2024-02-07,Semi-finals,Côte d'Ivoire,1–0,Congo DR,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),083c7e30
INT-Africa Cup of Nations,2023,2024-02-07,Semi-finals,Nigeria,(4) 1–1 (2),South Africa,Stade de la Paix (Neutral Site),9a30d019
INT-Africa Cup of Nations,2023,2024-02-10,Third-place match,South Africa,(6) 0–0 (5),Congo DR,Stade Félix Houphouët-Boigny (Neutral Site),6530ea40
INT-Africa Cup of Nations,2023,2024-02-11,Final,Nigeria,1–2,Côte d'Ivoire,Stade Olympique Alassane Ouattara d'Ebim... (Neutral Site),799cf803
INT-Africa Cup of Nations,2025,2025-12-21,Group stage,Morocco,2–0,Comoros,Stade Prince Moulay Abdallah (Neutral Site),420fec3d
INT-Africa Cup of Nations,2025,2025-12-22,Group stage,Egypt,2–1,Zimbabwe,Grand Stade d'Agadir (Neutral Site),19fda49b
INT-Africa Cup of Nations,2025,2025-12-22,Group stage,Mali,1–1,Zambia,Stade Mohamed V (Neutral Site),8244986d
INT-Africa Cup of Nations,2025,2025-12-22,Group stage,South Africa,2–1,Angola,Grand Stade de Marrakech (Neutral Site),9e50c0b7
INT-Africa Cup of Nations,2025,2025-12-23,Group stage,Congo DR,1–0,Benin,Al Medina Stadium (Neutral Site),ffd23862
INT-Africa Cup of Nations,2025,2025-12-23,Group stage,Nigeria,2–1,Tanzania,Complexe Sportif de Fès (Neutral Site),6d80c3f2
INT-Africa Cup of Nations,2025,2025-12-23,Group stage,Senegal,3–0,Botswana,Stade Ibn Batouta (Neutral Site),4a718af7
INT-Africa Cup of Nations,2025,2025-12-23,Group stage,Tunisia,3–1,Uganda,Stade Olympique de Rabat (Neutral Site),d6f3fb16
INT-Africa Cup of Nations,2025,2025-12-24,Group stage,Algeria,3–0,Sudan,Stade Prince Héritier Moulay Hassan (Neutral Site),fda2a92e
INT-Africa Cup of Nations,2025,2025-12-24,Group stage,Burkina Faso,2–1,Equ. Guinea,Stade Mohamed V (Neutral Site),00e408a0
INT-Africa Cup of Nations,2025,2025-12-24,Group stage,Cameroon,1–0,Gabon,Grand Stade d'Agadir (Neutral Site),9197de96
INT-Africa Cup of Nations,2025,2025-12-24,Group stage,Côte d'Ivoire,1–0,Mozambique,Grand Stade de Marrakech (Neutral Site),e7768161
INT-Africa Cup of Nations,2025,2025-12-26,Group stage,Angola,1–1,Zimbabwe,Grand Stade de Marrakech (Neutral Site),58f5338f
INT-Africa Cup of Nations,2025,2025-12-26,Group stage,Egypt,1–0,South Africa,Grand Stade d'Agadir (Neutral Site),d1ffd1e7
INT-Africa Cup of Nations,2025,2025-12-26,Group stage,Morocco,1–1,Mali,Stade Prince Moulay Abdallah (Neutral Site),73b73ae8
INT-Africa Cup of Nations,2025,2025-12-26,Group stage,Zambia,0–0,Comoros,Stade Mohamed V (Neutral Site),cc7012a0
INT-Africa Cup of Nations,2025,2025-12-27,Group stage,Benin,1–0,Botswana,Stade Olympique de Rabat (Neutral Site),8c91e4cd
INT-Africa Cup of Nations,2025,2025-12-27,Group stage,Nigeria,3–2,Tunisia,Complexe Sportif de Fès (Neutral Site),ad2dc803
INT-Africa Cup of Nations,2025,2025-12-27,Group stage,Senegal,1–1,Congo DR,Stade Ibn Batouta (Neutral Site),49c13efb
INT-Africa Cup of Nations,2025,2025-12-27,Group stage,Uganda,1–1,Tanzania,Al Medina Stadium (Neutral Site),f117f941
INT-Africa Cup of Nations,2025,2025-12-28,Group stage,Algeria,1–0,Burkina Faso,Stade Prince Héritier Moulay Hassan (Neutral Site),bd7a4048
INT-Africa Cup of Nations,2025,2025-12-28,Group stage,Côte d'Ivoire,1–1,Cameroon,Grand Stade de Marrakech (Neutral Site),99232bae
INT-Africa Cup of Nations,2025,2025-12-28,Group stage,Equ. Guinea,0–1,Sudan,Stade Mohamed V (Neutral Site),ea895186
INT-Africa Cup of Nations,2025,2025-12-28,Group stage,Gabon,2–3,Mozambique,Grand Stade d'Agadir (Neutral Site),7f6ff05f
INT-Africa Cup of Nations,2025,2025-12-29,Group stage,Angola,0–0,Egypt,Grand Stade d'Agadir (Neutral Site),a61c88d2
INT-Africa Cup of Nations,2025,2025-12-29,Group stage,Comoros,0–0,Mali,Stade Mohamed V (Neutral Site),b79ed078
INT-Africa Cup of Nations,2025,2025-12-29,Group stage,Zambia,0–3,Morocco,Stade Prince Moulay Abdallah (Neutral Site),f405318c
INT-Africa Cup of Nations,2025,2025-12-29,Group stage,Zimbabwe,2–3,South Africa,Grand Stade de Marrakech (Neutral Site),4c8906d7
INT-Africa Cup of Nations,2025,2025-12-30,Group stage,Benin,0–3,Senegal,Stade Ibn Batouta (Neutral Site),e5a08793
INT-Africa Cup of Nations,2025,2025-12-30,Group stage,Botswana,0–3,Congo DR,Al Medina Stadium (Neutral Site),1e307ed3
INT-Africa Cup of Nations,2025,2025-12-30,Group stage,Tanzania,1–1,Tunisia,Stade Olympique de Rabat (Neutral Site),97bb8282
INT-Africa Cup of Nations,2025,2025-12-30,Group stage,Uganda,1–3,Nigeria,Complexe Sportif de Fès (Neutral Site),1067d5f0
INT-Africa Cup of Nations,2025,2025-12-31,Group stage,Equ. Guinea,1–3,Algeria,Stade Prince Héritier Moulay Hassan (Neutral Site),4a9327de
INT-Africa Cup of Nations,2025,2025-12-31,Group stage,Gabon,2–3,Côte d'Ivoire,Grand Stade de Marrakech (Neutral Site),3b401691
INT-Africa Cup of Nations,2025,2025-12-31,Group stage,Mozambique,1–2,Cameroon,Grand Stade d'Agadir (Neutral Site),162cbd69
INT-Africa Cup of Nations,2025,2025-12-31,Group stage,Sudan,0–2,Burkina Faso,Stade Mohamed V (Neutral Site),60433c95
INT-Africa Cup of Nations,2025,2026-01-03,Round of 16,Mali,(3) 1–1 (2),Tunisia,Stade Mohamed V (Neutral Site),20335594
INT-Africa Cup of Nations,2025,2026-01-03,Round of 16,Senegal,3–1,Sudan,Stade Ibn Batouta (Neutral Site),fbcbdd4a
INT-Africa Cup of Nations,2025,2026-01-04,Round of 16,Morocco,1–0,Tanzania,Stade Prince Moulay Abdallah (Neutral Site),e679ba54
INT-Africa Cup of Nations,2025,2026-01-04,Round of 16,South Africa,1–2,Cameroon,Al Medina Stadium (Neutral Site),1a5397bd
INT-Africa Cup of Nations,2025,2026-01-05,Round of 16,Egypt,3–1,Benin,Grand Stade d'Agadir (Neutral Site),737e9d9e
INT-Africa Cup of Nations,2025,2026-01-05,Round of 16,Nigeria,4–0,Mozambique,Complexe Sportif de Fès (Neutral Site),9443d6c5
INT-Africa Cup of Nations,2025,2026-01-06,Round of 16,Algeria,1–0,Congo DR,Stade Prince Héritier Moulay Hassan (Neutral Site),9f5cf4af
INT-Africa Cup of Nations,2025,2026-01-06,Round of 16,Côte d'Ivoire,3–0,Burkina Faso,Grand Stade de Marrakech (Neutral Site),d1ac9d4c
INT-Africa Cup of Nations,2025,2026-01-09,Quarter-finals,Cameroon,0–2,Morocco,Stade Prince Moulay Abdallah (Neutral Site),7ae5c9d7
INT-Africa Cup of Nations,2025,2026-01-09,Quarter-finals,Mali,0–1,Senegal,Stade Ibn Batouta (Neutral Site),53a5612c
INT-Africa Cup of Nations,2025,2026-01-10,Quarter-finals,Algeria,0–2,Nigeria,Grand Stade de Marrakech (Neutral Site),f0e85fd8
INT-Africa Cup of Nations,2025,2026-01-10,Quarter-finals,Egypt,3–2,Côte d'Ivoire,Grand Stade d'Agadir (Neutral Site),d1d6bf04
INT-Africa Cup of Nations,2025,2026-01-14,Semi-finals,Nigeria,(2) 0–0 (4),Morocco,Stade Prince Moulay Abdallah (Neutral Site),d76ec9b7
INT-Africa Cup of Nations,2025,2026-01-14,Semi-finals,Senegal,1–0,Egypt,Stade Ibn Batouta (Neutral Site),08cb03cf
INT-Africa Cup of Nations,2025,2026-01-17,Third-place match,Egypt,(2) 0–0 (4),Nigeria,Stade Mohamed V (Neutral Site),6a7be374
INT-Africa Cup of Nations,2025,2026-01-18,Final,Senegal,1–0,Morocco,Stade Prince Moulay Abdallah (Neutral Site),e7ababc1
INT-CONCACAF Gold Cup,2023,2023-06-24,Group stage,United States,1–1,Jamaica,Soldier Field (Neutral Site),2ec267fb
INT-CONCACAF Gold Cup,2023,2023-06-25,Group stage,Haiti,2–1,Qatar,NRG Stadium (Neutral Site),ffc8be25
INT-CONCACAF Gold Cup,2023,2023-06-25,Group stage,Mexico,4–0,Honduras,NRG Stadium (Neutral Site),3aa8e5c2
INT-CONCACAF Gold Cup,2023,2023-06-25,Group stage,Trin & Tobago,3–0,St. Kitts & Nevis,DRV PNK Stadium (Neutral Site),f9b849a7
INT-CONCACAF Gold Cup,2023,2023-06-26,Group stage,Costa Rica,1–2,Panama,DRV PNK Stadium (Neutral Site),e48cc2c0
INT-CONCACAF Gold Cup,2023,2023-06-26,Group stage,El Salvador,1–2,Martinique,DRV PNK Stadium (Neutral Site),11ecc45b
INT-CONCACAF Gold Cup,2023,2023-06-27,Group stage,Canada,2–2,Guadeloupe,BMO Field (Neutral Site),311cae3d
INT-CONCACAF Gold Cup,2023,2023-06-27,Group stage,Guatemala,1–0,Cuba,DRV PNK Stadium (Neutral Site),5bb8dba5
INT-CONCACAF Gold Cup,2023,2023-06-28,Group stage,Jamaica,4–1,Trin & Tobago,Citypark (Neutral Site),b1b16bef
INT-CONCACAF Gold Cup,2023,2023-06-28,Group stage,St. Kitts & Nevis,0–6,United States,Citypark (Neutral Site),e9794333
INT-CONCACAF Gold Cup,2023,2023-06-29,Group stage,Haiti,1–3,Mexico,State Farm Stadium (Neutral Site),9d68d61a
INT-CONCACAF Gold Cup,2023,2023-06-30,Group stage,El Salvador,0–0,Costa Rica,Red Bull Arena (Neutral Site),f39503b3
INT-CONCACAF Gold Cup,2023,2023-06-30,Group stage,Martinique,1–2,Panama,Red Bull Arena (Neutral Site),5af5ecfb
INT-CONCACAF Gold Cup,2023,2023-06-30,Group stage,Qatar,1–1,Honduras,State Farm Stadium (Neutral Site),02088980
INT-CONCACAF Gold Cup,2023,2023-07-01,Group stage,Cuba,1–4,Guadeloupe,Shell Energy Stadium (Neutral Site),29b542e9
INT-CONCACAF Gold Cup,2023,2023-07-01,Group stage,Guatemala,0–0,Canada,Shell Energy Stadium (Neutral Site),e000f4d0
