match_id,match_slug,match_url,home_team,away_team,kickoff,final_score,goal_index,minute,minute_base,stoppage_minute,elapsed_minute,scorer,scoring_country,opponent_country,credited_player_country,own_goal,penalty,score_before,score_after,scoring_team_score_before,opponent_score_before,scoring_team_score_after,opponent_score_after,home_score_before,away_score_before,home_score_after,away_score_after,raw_event
4667771,usa-vs-paraguay,https://www.fotmob.com/matches/usa-vs-paraguay/1hr85j#4667771,USA,Paraguay,2026-06-13T01:00:00.000Z,4-1,1,7,7,0,7.0,Damián Bobadilla,USA,Paraguay,Paraguay,True,False,0-0,1-0,0,0,1,0,0,0,1,0,Damián Bobadilla (1 - 0) Own goal 7’ 9’ Juan Cáceres Folarin Balogun
4667771,usa-vs-paraguay,https://www.fotmob.com/matches/usa-vs-paraguay/1hr85j#4667771,USA,Paraguay,2026-06-13T01:00:00.000Z,4-1,2,31,31,0,31.0,Folarin Balogun,USA,Paraguay,USA,False,False,1-0,2-0,1,0,2,0,1,0,2,0,9’ Juan Cáceres Folarin Balogun (2 - 0) assist by Christian Pulisic 31’ +5 minutes added Folarin Balogun
4667771,usa-vs-paraguay,https://www.fotmob.com/matches/usa-vs-paraguay/1hr85j#4667771,USA,Paraguay,2026-06-13T01:00:00.000Z,4-1,3,45+5,45,5,50.0,Folarin Balogun,USA,Paraguay,USA,False,False,2-0,3-0,2,0,3,0,2,0,3,0,31’ +5 minutes added Folarin Balogun (3 - 0) assist by Malik Tillman 45’ +5 HT 3 - 0 46’ Mauricio Damián Bobadilla Sebastian Berhalter Christian Pulisic 46’ Yellow card cancelled Tim R
4667771,usa-vs-paraguay,https://www.fotmob.com/matches/usa-vs-paraguay/1hr85j#4667771,USA,Paraguay,2026-06-13T01:00:00.000Z,4-1,4,79,79,0,79.0,Mauricio,Paraguay,USA,Paraguay,False,False,3-0,3-1,0,3,1,3,3,0,3,1,73’ Mauricio (3 - 1) assist by Julio Enciso 79’ Ramón Sosa Miguel Almirón 79’ Gustavo Velázquez Juan Cáceres 79’ Alejandro Romero Diego Gómez 79’ Diego Gómez Gi
4667771,usa-vs-paraguay,https://www.fotmob.com/matches/usa-vs-paraguay/1hr85j#4667771,USA,Paraguay,2026-06-13T01:00:00.000Z,4-1,5,90+8,90,8,98.0,Giovanni Reyna,USA,Paraguay,USA,False,False,3-1,4-1,3,1,4,1,3,1,4,1,90’ +3 Júnior Alonso Giovanni Reyna (4 - 1) assist by Alex Freeman 90’ +8
4667772,turkiye-vs-australia,https://www.fotmob.com/matches/turkiye-vs-australia/1gr3uk#4667772,Australia,Turkiye,2026-06-14T04:00:00.000Z,2-0,1,27,27,0,27.0,Nestory Irankunda,Australia,Turkiye,Australia,False,False,0-0,1-0,0,0,1,0,0,0,1,0,Nestory Irankunda (1 - 0) assist by Paul Okon-Engstler 27’ +4 minutes added HT 1 - 0 46’ Kenan Yildiz Baris Alper Yilmaz Nishan Velupillay Nestory Irankunda 61’ 62’
4667772,turkiye-vs-australia,https://www.fotmob.com/matches/turkiye-vs-australia/1gr3uk#4667772,Australia,Turkiye,2026-06-14T04:00:00.000Z,2-0,2,75,75,0,75.0,Connor Metcalfe,Australia,Turkiye,Australia,False,False,1-0,2-0,1,0,2,0,1,0,2,0,74’ Connor Metcalfe (2 - 0) 75’ 81’ Salih Özcan Ismail Yüksek 81’ Mert Müldür Zeki Çelik Aziz Behich Jordan Bos 83’ Jackson Irvine Paul Okon-Engstler 83’ 85’ Deniz Gül
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,1,6,6,0,6.0,Felix Nmecha,Germany,Curacao,Germany,False,False,0-0,1-0,0,0,1,0,0,0,1,0,Felix Nmecha (1 - 0) assist by Florian Wirtz 6’ 21’ Livano Comenencia
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,2,21,21,0,21.0,Livano Comenencia,Curacao,Germany,Curacao,False,False,1-0,1-1,0,1,1,1,1,0,1,1,21’ Livano Comenencia (1 - 1) Nico Schlotterbeck
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,3,38,38,0,38.0,Nico Schlotterbeck,Germany,Curacao,Germany,False,False,1-1,2-1,1,1,2,1,1,1,2,1,"21’ Livano Comenencia (1 - 1) Nico Schlotterbeck (2 - 1) Header, assist by Nathaniel Brown 38’ +4 minutes added Kai Havertz"
