page,subtab,source_url,match_url,text,match_id,completed
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/cape-verde-vs-spain/1bbtuo#4667798,D,4667798,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/uruguay-vs-cape-verde/14n97e#4667800,D,4667800,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/cape-verde-vs-saudi-arabia/1jqqyp#4667803,D,4667803,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/uruguay-vs-saudi-arabia/1izuvb#4667799,D,4667799,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/uruguay-vs-spain/1an22i#4667802,L,4667802,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/spain-vs-saudi-arabia/1qq6ht#4667801,L,4667801,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/france-vs-norway/1wx88k#4667808,L,4667808,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/senegal-vs-france/1f8fvo#4667804,L,4667804,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/senegal-vs-norway/1tzewo#4667806,L,4667806,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,L,4667805,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/iraq-vs-france/1au1fo#4667807,L,4667807,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/iraq-vs-senegal/18f0co#4667809,L,4667809,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/argentina-vs-austria/1un2w8#4667815,L,4667815,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/algeria-vs-austria/1r7yil#4667817,D,4667817,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/algeria-vs-argentina/1ehtqa#4667812,L,4667812,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/jordan-vs-austria/1my603#4667813,L,4667813,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/jordan-vs-algeria/17tvf0#4667814,L,4667814,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/jordan-vs-argentina/1aoo0p#4667816,L,4667816,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/colombia-vs-portugal/2a883f#4667823,D,4667823,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/dr-congo-vs-portugal/1s6g4o#4667819,D,4667819,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/dr-congo-vs-colombia/1ra58w#4667821,L,4667821,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/colombia-vs-uzbekistan/2dm7x9#4667820,L,4667820,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/portugal-vs-uzbekistan/2enrsr#4667822,L,4667822,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/dr-congo-vs-uzbekistan/1v6daf#4667824,L,4667824,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/ghana-vs-england/1wtyve#4667828,D,4667828,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/england-vs-croatia/2viayw#4667825,L,4667825,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/ghana-vs-croatia/2cpwux#4667830,L,4667830,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/panama-vs-ghana/1bjek0#4667826,L,4667826,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/panama-vs-croatia/24y93x#4667827,L,4667827,True
overview,default,https://www.fotmob.com/leagues/77/overview/world-cup,https://www.fotmob.com/matches/panama-vs-england/1pukme#4667829,L,4667829,True
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/paraguay-vs-germany/1xn26z#4653703,GER PAR 1 - 1,4653703,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/france-vs-sweden/1x6dai#4653704,FRA SWE 3 - 0,4653704,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/canada-vs-south-africa/17s1wd#4653705,RSA CAN 0 - 1,4653705,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/morocco-vs-netherlands/1e327v#4653706,NED MAR 1 - 1,4653706,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/portugal-vs-croatia/2u2izf#4653707,POR CRO 2 - 1,4653707,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/spain-vs-austria/1urklb#4653708,ESP AUT 3 - 0,4653708,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/usa-vs-bosnia-herzegovina/2c7uzr#4653709,USA BIH 2 - 0,4653709,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/senegal-vs-belgium/1rywdm#4653710,BEL SEN 3 - 2,4653710,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/france-vs-paraguay/1hu3vk#4653842,PAR FRA 0 - 1,4653842,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/canada-vs-morocco/17e1pm#4653843,CAN MAR 0 - 3,4653843,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/france-vs-spainbelgium/rj2w9n5c#4653855,FRA TBD Jul 14,4653855,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/loser-sf-1-vs-loser-sf-2/4oe88#4653857,LS1 LS2 Jul 18,4653857,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/winner-sf-1-vs-winner-sf-2/4oqgw#4653858,WS1 WS2 Jul 19,4653858,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/japan-vs-brazil/1uqadm#4653711,BRA JPN 2 - 1,4653711,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/ivory-coast-vs-norway/1wsny5#4653712,CIV NOR 1 - 2,4653712,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/ecuador-vs-mexico/1hlgxf#4653713,MEX ECU 2 - 0,4653713,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/dr-congo-vs-england/1tbjj5#4653714,ENG COD 2 - 1,4653714,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/cape-verde-vs-argentina/1b81pp#4653715,ARG CPV 3 - 2,4653715,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/australia-vs-egypt/2dqwke#4653716,AUS EGY 1 - 1,4653716,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/algeria-vs-switzerland/1ekwbo#4653717,SUI ALG 2 - 0,4653717,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/ghana-vs-colombia/1uqlxk#4653718,COL GHA 1 - 0,4653718,False
knockout,default,https://www.fotmob.com/leagues/77/playoff/world-cup,https://www.fotmob.com/matches/norwayengland-vs-argentinaswitzerland/31drd1bob#4653856,TBD TBD Jul 15,4653856,False
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/brazil-vs-norway/2bicve#4653846,Brazil FT 1 - 2 Norway,4653846,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/mexico-vs-england/1wsny4#4653847,Mexico FT 2 - 3 England,4653847,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/spain-vs-portugal/1vppuu#4653844,Portugal FT 0 - 1 Spain,4653844,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/usa-vs-belgium/1urw5j#4653845,USA FT 1 - 4 Belgium,4653845,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/argentina-vs-egypt/2dn9n7#4653848,Argentina FT 3 - 2 Egypt,4653848,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/switzerland-vs-colombia/1urkle#4653849,Switzerland Pen 0 - 0 Colombia,4653849,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/morocco-vs-france/1e78fs#4653851,France FT 2 - 0 Morocco,4653851,True
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/spain-vs-belgium/1uu52b#4653853,Spain 9:00 PM Belgium,4653853,False
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/england-vs-norway/2dvb4w#4653852,Norway 11:00 PM England,4653852,False
fixtures,default,https://www.fotmob.com/leagues/77/fixtures/world-cup,https://www.fotmob.com/matches/argentina-vs-switzerland/1hn72d#4653854,Argentina 3:00 AM Switzerland,4653854,False
