test_year,train_matches,test_matches,result_accuracy,mean_result_log_loss,mean_result_brier,mean_goal_mae,mean_goal_diff_abs_error,mean_exact_score_log_loss,mean_actual_result_probability,mean_exact_score_probability,features_used,event_targets,model_type,recency_half_life_years,recency_min_weight,qualifier_influence
2010,708.0,64,0.484375,1.0377706163368619,0.6157014548007962,0.9114850669129564,1.2614947559658902,2.7807549978255715,0.4080217115380681,0.08004369294196263,46.0,"yellow_cards,red_cards,second_yellow_cards,sending_offs,penalty_goals,penalty_kicks,penalty_kicks_converted,own_goals,substitutions",rf,16.0,0.1,0.0
2014,772.0,64,0.546875,1.0024391083627557,0.6023320427399598,0.97612001391562,1.4050480416743492,3.1729293619666876,0.40397823815109246,0.0771031308916307,46.0,"yellow_cards,red_cards,second_yellow_cards,sending_offs,penalty_goals,penalty_kicks,penalty_kicks_converted,own_goals,substitutions",rf,16.0,0.1,0.0
2018,836.0,64,0.5625,0.9722253855329541,0.5800740737374486,0.9304935047487,1.198422054407069,2.9332280693575026,0.4100877831793236,0.07094695912317292,46.0,"yellow_cards,red_cards,second_yellow_cards,sending_offs,penalty_goals,penalty_kicks,penalty_kicks_converted,own_goals,substitutions",rf,16.0,0.1,0.5
2022,900.0,64,0.53125,0.9833240959099305,0.5816896066918302,0.9855874610190187,1.2224946261084486,2.991028043934376,0.3995705614150885,0.06717640591701349,46.0,"yellow_cards,red_cards,second_yellow_cards,sending_offs,penalty_goals,penalty_kicks,penalty_kicks_converted,own_goals,substitutions",rf,16.0,0.1,1.0
overall,,256,0.53125,0.9989398015356256,0.5949492944925088,0.9509215116490738,1.271864869538939,2.9694851182710345,0.40541457357089317,0.07381754721844493,,,rf,16.0,0.1,
