bin,mean_pred_prob,actual_frequency,n
"(-0.001, 0.1]",0.08072138286072367,0.18518518518518517,27
"(0.1, 0.2]",0.15271861596948783,0.21333333333333335,75
"(0.2, 0.3]",0.24629334216048224,0.23870967741935484,310
"(0.3, 0.4]",0.34580336358622904,0.3359375,128
"(0.4, 0.5]",0.4433189246338317,0.4,110
"(0.5, 0.6]",0.5467445890160947,0.673469387755102,49
"(0.6, 0.7]",0.6473688477238388,0.6326530612244898,49
"(0.7, 0.8]",0.7238109873141908,0.5,20
"(0.8, 0.9]",,,0
"(0.9, 1.0]",,,0
