match_id,date,team_a,team_b,goals_a,goals_b,goal_diff,is_group_stage,is_knockout,host_a,host_b,host_diff,same_confed,elo_a,elo_b,elo_diff,elo_prob_a,a_gf_avg,a_ga_avg,a_gd_avg,a_win_rate,a_draw_rate,a_matches_seen,b_gf_avg,b_ga_avg,b_gd_avg,b_win_rate,b_draw_rate,b_matches_seen,gf_diff,ga_diff,gd_diff,win_rate_diff,abs_host_diff,abs_elo_diff,abs_gf_diff,abs_ga_diff,abs_gd_diff,mean_draw_rate,abs_draw_rate_diff,form_expected_total,yellow_cards_a,yellow_cards_b,red_cards_a,red_cards_b,second_yellow_cards_a,second_yellow_cards_b,sending_offs_a,sending_offs_b,penalty_goals_a,penalty_goals_b,penalty_kicks_a,penalty_kicks_b,penalty_kicks_converted_a,penalty_kicks_converted_b,own_goals_a,own_goals_b,substitutions_a,substitutions_b,qual_a_gf_avg,qual_a_ga_avg,qual_a_gd_avg,qual_a_draw_rate,qual_a_clean_sheet_rate,qual_a_matches_seen,qual_b_gf_avg,qual_b_ga_avg,qual_b_gd_avg,qual_b_draw_rate,qual_b_clean_sheet_rate,qual_b_matches_seen,qual_abs_gd_diff,qual_mean_draw_rate,qual_abs_draw_rate_diff,qual_expected_total,qual_min_matches_seen
1980ebbf-d0b6-5021-b034-ec733736da7d,1930-07-19,Argentina,Mexico,6,3,3,1,0,0,0,0,0,1512.7173573062337,1459.6542546520782,53.0631026541555,0.5757756810832946,1.0,0.0,1.0,1.0,0.0,1,0.5,3.5,-3.0,0.0,0.0,2,0.5,-3.5,4.0,1.0,0,53.0631026541555,0.5,3.5,4.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
39f1db89-245a-5f3e-9360-34b96274dca6,1930-07-20,Brazil,Bolivia,4,0,4,1,0,0,0,0,1,1488.0,1476.691920152062,11.308079847937961,0.5162678911339929,1.0,2.0,-1.0,0.0,0.0,1,0.0,4.0,-4.0,0.0,0.0,1,1.0,-2.0,3.0,0.0,0,11.308079847937961,1.0,2.0,3.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
11323e67-fefd-509c-b24d-a0cb14851cba,1930-07-20,Paraguay,Belgium,1,0,1,1,0,0,0,0,0,1480.4486700688765,1479.2055845832017,1.2430854856747828,0.5017889361843438,0.0,3.0,-3.0,0.0,0.0,1,0.0,3.0,-3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,1.2430854856747828,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
10d2f96c-797d-5dbb-917d-f0984ded3004,1930-07-21,Uruguay,Romania,4,0,4,1,0,1,0,1,0,1511.4312555729985,1516.4791843300216,-5.047928757023101,0.49273595768550477,1.0,0.0,1.0,1.0,0.0,1,3.0,1.0,2.0,1.0,0.0,1,-2.0,-1.0,-1.0,0.0,1,5.047928757023101,2.0,1.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
06292df5-d694-5b98-a201-61b2b4a8cba0,1930-07-22,Argentina,Chile,3,1,2,1,0,0,0,0,1,1530.3603507411583,1531.1551666425055,-0.7948159013471923,0.49885616996655235,3.5,1.5,2.0,1.0,0.0,2,2.0,0.0,2.0,1.0,0.0,2,1.5,1.5,0.0,0.0,0,0.7948159013471923,1.5,1.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
8e30139d-48bc-5c7e-8248-5cbcc906a380,1930-07-26,Argentina,United States,6,1,5,0,1,0,0,0,0,1546.8772338431068,1540.3457453479218,6.531488495184931,0.5093984603915673,3.3333333333333335,1.3333333333333333,2.0,1.0,0.0,3,3.0,0.0,3.0,1.0,0.0,2,0.3333333333333335,1.3333333333333333,-1.0,0.0,0,6.531488495184931,0.3333333333333335,1.3333333333333333,1.0,0.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
d97aa151-09af-51ae-b841-f844258fea57,1930-07-27,Uruguay,Yugoslavia,6,1,5,0,1,1,0,1,0,1535.9235550124642,1535.308079847938,0.6154751645262877,0.500885739035317,2.5,0.0,2.5,1.0,0.0,2,3.0,0.5,2.5,1.0,0.0,2,-0.5,-0.5,0.0,0.0,1,0.6154751645262877,0.5,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
142deff8-6950-520b-a4c2-0f632c70631d,1930-07-30,Uruguay,Argentina,4,2,2,0,1,1,0,1,1,1562.7523361117712,1573.2484324694449,-10.49609635767365,0.48489949669464694,3.6666666666666665,0.3333333333333333,3.3333333333333335,1.0,0.0,3,4.0,1.25,2.75,1.0,0.0,4,-0.3333333333333335,-0.9166666666666667,0.5833333333333335,0.0,1,10.49609635767365,0.3333333333333335,0.9166666666666667,0.5833333333333335,0.0,0.0,4.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
b4c7671d-11e3-5321-b760-c710fc5db5bb,1934-05-27,Italy,United States,7,1,6,0,1,1,0,1,0,1500.0,1513.9745467215837,-13.974546721583692,0.47989984887179105,1.25,1.25,0.0,0.33,0.25,0,2.3333333333333335,2.0,0.3333333333333333,0.6666666666666666,0.0,3,-1.0833333333333335,-0.75,-0.3333333333333333,-0.3366666666666666,1,13.974546721583692,1.0833333333333335,0.75,0.3333333333333333,0.125,0.25,3.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
fad0d99e-ac72-59e0-8500-ca143690379c,1934-05-27,Sweden,Argentina,3,2,1,0,1,0,0,0,0,1500.0,1556.2715601845332,-56.2715601845332,0.4197194603501256,1.25,1.25,0.0,0.33,0.25,0,3.6,1.8,1.8,0.8,0.0,5,-2.35,-0.55,-1.8,-0.47000000000000003,0,56.2715601845332,2.35,0.55,1.8,0.125,0.25,3.9499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.25,0.25,0.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2.5,0.0
