team_a_goals,team_b_goals,probability
0,0,0.059393656076579565
0,1,0.045675236474105874
0,2,0.023350030135590106
0,3,0.006689509012783471
0,4,0.0014373492423432927
0,5,0.00024707019190996736
0,6,3.539135208765114e-05
0,7,4.345374057154646e-06
0,8,4.6683696044162773e-07
0,9,4.458109955662368e-08
0,10,3.831588210620019e-09
1,0,0.10838454293124403
1,1,0.09660971972511846
1,2,0.046523788056424056
1,3,0.013328518109187075
1,4,0.0028638477606038027
1,5,0.0004922752209197028
1,6,7.051553055798878e-05
1,7,8.657944357545352e-06
1,8,9.30149711943514e-07
1,9,8.882565097564417e-08
1,10,7.634251296261716e-09
2,0,0.11594767364898996
2,1,0.09965293449929757
2,2,0.038295941500647857
2,3,0.01327820880780971
2,4,0.002853037993238307
2,5,0.0004904170981901559
2,6,7.024936540372594e-05
2,7,8.625264420554308e-06
2,8,9.26638805344529e-07
2,9,8.849037315943337e-08
2,10,7.605435350924968e-09
3,0,0.07700668140693323
3,1,0.06618452562907666
3,2,0.028441632289010185
3,3,0.007286616574450858
3,4,0.0018948460186643187
3,5,0.00032571065937182775
3,6,4.6656136604005805e-05
3,7,5.7284718906472685e-06
3,8,6.154274339172044e-07
3,9,5.8770907246473086e-08
3,10,5.051152115416404e-09
4,0,0.03835800750471055
4,1,0.03296735405802411
4,2,0.014167138809981841
4,3,0.00405871864851591
4,4,0.0007798689156125626
4,5,0.00016224062234973733
4,6,2.3240015090899983e-05
4,7,2.8534247127313286e-06
4,8,3.065522328387922e-07
4,9,2.9274536443222123e-08
4,10,2.516043117436985e-09
5,0,0.015285289149977172
5,1,0.013137166710880084
5,2,0.005645465633527568
5,3,0.0016173595073558393
5,4,0.0003475158577486297
5,5,5.3419187405797015e-05
5,6,9.260917696796825e-06
5,7,1.1370617151173124e-06
5,8,1.2215805312454342e-07
5,9,1.1665615170736983e-08
5,10,1.0026184639311988e-09
6,0,0.005075864632474233
6,1,0.004362526558993727
6,2,0.0018747188268344998
6,3,0.0005370848952108775
6,4,0.0001154013793434094
6,5,1.983668276372968e-05
6,6,2.541033860847841e-06
6,7,3.775899355304688e-07
6,8,4.0565653377103726e-08
6,9,3.873860865843492e-09
6,10,3.329446732083321e-10
7,0,0.001444772992295645
7,1,0.0012417314107004184
7,2,0.0005336121676354441
7,3,0.00015287361018380185
7,4,3.284736852167596e-05
7,5,5.646230856988613e-06
7,6,8.087893674387952e-07
7,7,8.880349286366886e-08
7,8,1.1546438815390056e-08
7,9,1.1026396407568327e-09
7,10,9.476798666035731e-11
8,0,0.0003598299022147566
8,1,0.00030926110501233115
8,2,0.00013289950402227275
8,3,3.807414486358132e-05
8,4,8.180846033387166e-06
8,5,1.4062297038955233e-06
8,6,2.0143413570834768e-07
8,7,2.4732218915078892e-08
8,8,2.3761056649058147e-09
8,9,2.746194151104782e-10
8,10,2.3602569784269437e-11
9,0,7.966037830830633e-05
9,1,6.846528448495586e-05
9,2,2.9421748171117845e-05
9,3,8.428984820133058e-06
9,4,1.8111037628903966e-06
9,5,3.1131595654281625e-07
9,6,4.45941800722187e-08
9,7,5.4753034782617284e-09
9,8,5.88228769184694e-10
9,9,5.023384330355059e-11
9,10,5.225217877920979e-12
10,0,1.587193907412291e-05
10,1,1.3641371621811669e-05
10,2,5.862138799025473e-06
10,3,1.6794338209652817e-06
10,4,3.608535283407479e-07
10,5,6.202817511016827e-08
10,6,8.88517132604325e-09
10,7,1.0909273225261824e-09
10,8,1.172016927915123e-10
10,9,1.1192302189613269e-11
10,10,8.602250441787502e-13
